Кабель,От позиция,Каб. ввод,До позиции,Каб. ввод,"Марка кабеля, количество жил, сечение","Длина,",Тип,"Длина,",Тип сигнала
C-4JBZ001-4,4JBZ001,"М20х1,5",7-ПАЗ,-,"Кабель контрольный, КГВВнг(А)-LS 4х1,5",100,РЗ-ЦХ-15,2,DO
C-4JBZ001-5,4JBZ001,"М20х1,5",7-ПАЗ,-,"Кабель контрольный, КГВВнг(А)-LS 4х1,5",100,РЗ-ЦХ-15,2,DO
C-4JBZ001-6,4JBZ001,"М20х1,5",7-ПАЗ,-,"Кабель контрольный, КГВВнг(А)-LS 4х1,5",100,РЗ-ЦХ-15,2,DO
C-4kshe22-1,4кшэ22,-,4JB002,-,Комплектная поставка,-,-,-,DO
C-4kshe22-2,4кшэ22,-,4JB002,-,Комплектная поставка,-,-,-,DI
C-4kshe23-1,4кшэ23,-,4JB002,-,Комплектная поставка,-,-,-,DO
C-4kshe23-2,4кшэ23,-,4JB002,-,Комплектная поставка,-,-,-,DI
C-4kshe24-1,4кшэ24,-,4JB002,-,Комплектная поставка,-,-,-,DO
C-4kshe24-2,4кшэ24,-,4JB002,-,Комплектная поставка,-,-,-,DI
C-LT4L4,LT-4L4,-,4JB002,-,Комплектная поставка,-,-,-,AI
C-PT4P13,PT-4P13,-,4JB002,-,Комплектная поставка,-,-,-,AI
C-PT4P17,PT-4P17,-,4JB002,-,Комплектная поставка,-,-,-,AI
C-TT4T2,TT-4T2,-,4JB002,-,Комплектная поставка,-,-,-,AI
C-UZHМ1/1-1,UZ Hм1/1,-,4JB002,-,Комплектная поставка,-,-,-,DI/DO
C-UZHМ1/1-2,UZ Hм1/1,-,4JB002,-,Комплектная поставка,-,-,-,AO
С-SB1HM1/1,XS_Hм1/1,-,4JB002,-,Комплектная поставка,-,-,-,DO
C-4JB002-1,4JB002,"М32х1,5",7-ШС4.1,-,"Кабель управления, экранированный, МКЭШВнг(А)-LS 10х2х1,0",15 10,"РЗ-ЦХ-32
 Ц-32х3,2","2
 2",AI/DI
C-4JB002-2,4JB002,"М20х1,5",7-ШС4.1,-,"Кабель контрольный, КГВВнг(А)-LS 4х1,5",15 10,"РЗ-ЦХ-15
 Ц-15х2,8","2
 2",DO
C-4JB002-3,4JB002,"М20х1,5",7-ШС4.1,-,"Кабель контрольный, КГВВнг(А)-LS 4х1,5",15 10,"РЗ-ЦХ-15
 Ц-15х2,8","2
 2",DO
C-4JB002-4,4JB002,"М20х1,5",7-ШС4.1,-,"Кабель контрольный, КГВВнг(А)-LS 4х1,5",15 10,"РЗ-ЦХ-15
 Ц-15х2,8","2
 2",DO
C-4JB002-5,4JB002,"М25х1,5",7-ШС4.1,-,"Кабель управления, экранированный, МКЭШВнг(А)-LS 7х2х1,0",15 10,"РЗ-ЦХ-25
 Ц-25х3,2","2
 2",DI/DO/AO
C-4kshe1,4кшэ1,-,4JB003,-,Комплектная поставка,-,-,-,DO/DI
C-4kshe8,4кшэ8,-,4JB003,-,Комплектная поставка,-,-,-,DO/DI
C-ND9/1-1,НД9/1,-,4JB003,-,Комплектная поставка,-,-,-,DO
C-ND9/1-2,НД9/1,-,4JB003,-,Комплектная поставка,-,-,-,AO
C-LT4L1,LT-4L1,-,4JB003,-,Комплектная поставка,-,-,-,AI
C-4JB003-1,4JB003,"М32х1,5",7-ШС4.1,-,"Кабель управления, экранированный, МКЭШВнг(А)-LS 10х2х1,0",35,РЗ-ЦХ-32,2,DI/DO/AO
C-4JB003-2,4JB003,"М20х1,5",7-ШС4.1,-,"Кабель контрольный, КГВВнг(А)-LS 4х1,5",35,РЗ-ЦХ-15,2,DO
C-4JB003-3,4JB003,"М20х1,5",7-ШС4.1,-,"Кабель контрольный, КГВВнг(А)-LS 4х1,5",35,РЗ-ЦХ-15,2,DO
C-ШС4.1-Bus1,7-ШС4.1,"М20х1,5",7-ШС6.1,"М20х1,5","Кабель НВПЭнг(С)-LS 4х2х0,52",20,-,-,Regul-Bus1
C-ШС4.1-Bus2,7-ШС4.1,"М20х1,5",7-ШС6.1,"М20х1,5","Кабель НВПЭнг(С)-LS 4х2х0,52",20,-,-,Regul-Bus2
C-ШС4.1-3,7-ШС4.2,"М25х1,5",7-ШС4.1,"М25х1,5","Кабель управления, экранированный, МКЭШВнг(А)-LS 7х2х1,0",3,РЗ-ЦХ-25,2,DO/DI
C-ШС4.2-1,7-ПАЗ,-,7-ШС4.2,"М20х1,5","Кабель управления, экранированный, МКЭШВнг(А)-LS 2х2х1,0",100,-,-,DO
C-5zpe4,5зпэ4,-,5JB001,-,Комплектная поставка,-,-,-,DO/DI
C-5zpe5,5зпэ5,-,5JB001,-,Комплектная поставка,-,-,-,DO/DI
C-5zpe6,5зпэ6,-,5JB001,-,Комплектная поставка,-,-,-,DO/DI
C-5zpe7,5зпэ7,-,5JB001,-,Комплектная поставка,-,-,-,DO/DI
C-5kshe3,5кшэ3,-,5JB001,-,Комплектная поставка,-,-,-,DO/DI
C-5kshe5,5кшэ5,-,5JB001,-,Комплектная поставка,-,-,-,DO/DI
C-5kshe1,5кшэ1,-,5JB001,-,Комплектная поставка,-,-,-,DO/DI
C-5kshe2,5кшэ2,-,5JB001,-,Комплектная поставка,-,-,-,DO/DI
C-5kshe4,5кшэ4,-,5JB001,-,Комплектная поставка,-,-,-,DO/DI
C-FT5F1-1,FT-5F1,-,5JB001,-,Комплектная поставка,-,-,-,24VDC
C-FT5F1-2,FT-5F1,-,5JB001,-,Комплектная поставка,-,-,-,AI
C-FT5F2-1,FT-5F2,-,5JB001,-,Комплектная поставка,-,-,-,24VDC
C-FT5F2-2,FT-5F2,-,5JB001,-,Комплектная поставка,-,-,-,AI
C-PT5P4,PT-5P4,-,5JB001,-,Комплектная поставка,-,-,-,AI
C-PT5P5,PT-5P5,-,5JB001,-,Комплектная поставка,-,-,-,AI
C-PT5P6,PT-5P6,-,5JB001,-,Комплектная поставка,-,-,-,AI
-,QE-5Q1,-,QT-5Q1,-,Комплектная поставка,-,-,-,-
C-QT5Q1-1,QT-5Q1,-,5JB001,-,Комплектная поставка,-,-,-,24VDC
C-QT5Q1-2,QT-5Q1,-,5JB001,-,Комплектная поставка,-,-,-,AI
C-TT5T1,TT-5T1,-,5JB001,-,Комплектная поставка,-,-,-,AI
C-UZH10/1-1,UZ H10/1,-,5JB001,-,Комплектная поставка,-,-,-,DI/DO
C-UZH10/1-2,UZ H10/1,-,5JB001,-,Комплектная поставка,-,-,-,AO
C-5JB001-1,5JB001,"М32х1,5",7-ШС5.1,-,"Кабель управления, экранированный, МКЭШВнг(А)-LS 12х2х1,0",10,РЗ-ЦХ-32,1,DI
C-5JB001-2,5JB001,"М32х1,5",7-ШС5.1,-,"Кабель управления, экранированный, МКЭШВнг(А)-LS 10х2х1,0",10,РЗ-ЦХ-32,1,DI
C-5JB001-3,5JB001,"М25х1,5",7-ШС5.1,-,"Кабель управления, КГВВнг(А)-LS 10х1,5",10,РЗ-ЦХ-25,1,24VDC
C-5JB001-4,5JB001,"М32х1,5",7-ШС5.1,-,"Кабель управления, экранированный, МКЭШВнг(А)-LS 12х2х1,0",10,РЗ-ЦХ-32,1,AI/AO/ DI/DO
C-5JB001-5,5JB001,"М20х1,5",7-ШС5.1,-,"Кабель контрольный, КГВВнг(А)-LS 4х1,5",10,РЗ-ЦХ-15,1,DO
C-5JB001-6,5JB001,"М20х1,5",7-ШС5.1,-,"Кабель контрольный, КГВВнг(А)-LS 4х1,5",10,РЗ-ЦХ-15,1,DO
C-5JB001-7,5JB001,"М20х1,5",7-ШС5.1,-,"Кабель контрольный, КГВВнг(А)-LS 4х1,5",10,РЗ-ЦХ-15,1,DO
C-5JB001-8,5JB001,"М20х1,5",7-ШС5.1,-,"Кабель контрольный, КГВВнг(А)-LS 4х1,5",10,РЗ-ЦХ-15,1,DO
C-5JB001-9,5JB001,"М20х1,5",7-ШС5.1,-,"Кабель контрольный, КГВВнг(А)-LS 4х1,5",10,РЗ-ЦХ-15,1,DO
C-5JB001-10,5JB001,"М20х1,5",7-ШС5.1,-,"Кабель контрольный, КГВВнг(А)-LS 4х1,5",10,РЗ-ЦХ-15,1,DO
C-5JB001-11,5JB001,"М20х1,5",7-ШС5.1,-,"Кабель контрольный, КГВВнг(А)-LS 4х1,5",10,РЗ-ЦХ-15,1,DO
C-5JB001-12,5JB001,"М20х1,5",7-ШС5.1,-,"Кабель контрольный, КГВВнг(А)-LS 4х1,5",10,РЗ-ЦХ-15,1,DO
C-5JB001-13,5JB001,"М20х1,5",7-ШС5.1,-,"Кабель контрольный, КГВВнг(А)-LS 4х1,5",10,РЗ-ЦХ-15,1,DO
C-5kshe100-1,5кшэ100,-,5JB002,-,Комплектная поставка,-,-,-,DO
C-5kshe100-2,5кшэ100,-,5JB002,-,Комплектная поставка,-,-,-,DI
C-5kshe101-1,5кшэ101,-,5JB002,-,Комплектная поставка,-,-,-,DO
C-5kshe101-2,5кшэ101,-,5JB002,-,Комплектная поставка,-,-,-,DI
C-5kshe102-1,5кшэ102,-,5JB002,-,Комплектная поставка,-,-,-,DO
C-5kshe102-2,5кшэ102,-,5JB002,-,Комплектная поставка,-,-,-,DI
C-LT5L3,LT-5L3,-,5JB002,-,Комплектная поставка,-,-,-,AI
C-PT5P10,PT-5P10,-,5JB002,-,Комплектная поставка,-,-,-,AI
C-PT5P11,PT-5P11,-,5JB002,-,Комплектная поставка,-,-,-,AI
C-TT5T2,TT-5T2,-,5JB002,-,Комплектная поставка,-,-,-,AI
C-UZHМ2/1-1,UZ Hм2/1,-,5JB002,-,Комплектная поставка,-,-,-,DI/DO
C-UZHМ2/1-2,UZ Hм2/1,-,5JB002,-,Комплектная поставка,-,-,-,AO
С-SB1HM2/1,XS_Hм2/1,-,5JB002,-,Комплектная поставка,-,-,-,DO
C-5JB002-1,5JB002,"М32х1,5",7-ШС5.1,-,"Кабель управления, экранированный, МКЭШВнг(А)-LS 12х2х1,0",15,РЗ-ЦХ-32,2,DI/DO/AI
C-5JB002-2,5JB002,"М20х1,5",7-ШС5.1,-,"Кабель контрольный, КГВВнг(А)-LS 4х1,5",15,РЗ-ЦХ-15,2,DO
C-5JB002-3,5JB002,"М20х1,5",7-ШС5.1,-,"Кабель контрольный, КГВВнг(А)-LS 4х1,5",15,РЗ-ЦХ-15,2,DO
C-5JB002-4,5JB002,"М20х1,5",7-ШС5.1,-,"Кабель контрольный, КГВВнг(А)-LS 4х1,5",15,РЗ-ЦХ-15,2,DO
C-5JB002-5,5JB002,"М25х1,5",7-ШС5.1,-,"Кабель управления, экранированный, МКЭШВнг(А)-LS 7х2х1,0",15,РЗ-ЦХ-25,2,DI/DO/AO
C-LT5L1,LT-5L1,-,5JB003,-,Комплектная поставка,-,-,-,AI
C-5JB003-1,5JB003,"М20х1,5",7-ШС5.1,-,"Кабель управления, экранированный, МКЭШВнг(А)-LS 2х2х1,0",15,"РЗ-ЦХ-20
 Ц-20х2,8","2
 2",AI
C-ШС5.1-Bus1,7-ШС5.1,"М20х1,5",7-ШС24.1,"М20х1,5","Кабель НВПЭнг(С)-LS 4х2х0,52",55,-,-,Regul-Bus1
C-ШС5.1-Bus2,7-ШС5.1,"М20х1,5",7-ШС24.1,"М20х1,5","Кабель НВПЭнг(С)-LS 4х2х0,52",55,-,-,Regul-Bus2
C-ШС5.1-3,7-ШС5.2,"М25х1,5",7-ШС5.1,"М25х1,5","Кабель управления, экранированный, МКЭШВнг(А)-LS 7х2х1,0",3,РЗ-ЦХ-25,2,DI/DO
C-ШС5.1-4,7-ШС5.2,"М25х1,5",7-ШС5.1,"М25х1,5","Кабель управления, экранированный, МКЭШВнг(А)-LS 4х2х1,0",3,РЗ-ЦХ-25,2,DI/DO
C-ШС5.2-1,7-ПАЗ,-,7-ШС5.2,"М20х1,5","Кабель управления, экранированный, МКЭШВнг(А)-LS 2х2х1,0",110,-,-,DO
C-6kshe1,6кшэ1,-,6JB001,-,Комплектная поставка,-,-,-,DO/DI
C-6kshe6,6кшэ6,-,6JB001,-,Комплектная поставка,-,-,-,DO/DI
C-6kshe7,6кшэ7,-,6JB001,-,Комплектная поставка,-,-,-,DO/DI
C-6kshe3,6кшэ3,-,6JB001,-,Комплектная поставка,-,-,-,DO/DI
C-6kshe4,6кшэ4,-,6JB001,-,Комплектная поставка,-,-,-,DO/DI
C-6kshe8,6кшэ8,-,6JB001,-,Комплектная поставка,-,-,-,DO/DI
C-6kshe9,6кшэ9,-,6JB001,-,Комплектная поставка,-,-,-,DO/DI
C-FT6F2-1,FT-6F2,-,6JB001,-,Комплектная поставка,-,-,-,24VDC
C-FT6F2-2,FT-6F2,-,6JB001,-,Комплектная поставка,-,-,-,AI
C-FT6F1-1,FT-6F1,-,6JB001,-,Комплектная поставка,-,-,-,220VAC
C-FT6F1-2,FT-6F1,-,6JB001,-,Комплектная поставка,-,-,-,AI
C-PT6P4,PT-6P4,-,6JB001,-,Комплектная поставка,-,-,-,AI
C-PT6P6,PT-6P6,-,6JB001,-,Комплектная поставка,-,-,-,AI
C-PT6P12,PT-6P12,-,6JB001,-,Комплектная поставка,-,-,-,AI
-,QE-6Q1,-,QT-6Q1,-,Комплектная поставка,-,-,-,-
C-QT6Q1-1,QT-6Q1,-,6JB001,-,Комплектная поставка,-,-,-,24VDC
C-QT6Q1-2,QT-6Q1,-,6JB001,-,Комплектная поставка,-,-,-,AI
-,QE-6Q3,-,QT-6Q3,-,Комплектная поставка,-,-,-,-
C-QT6Q3-1,QT-6Q3,-,6JB001,-,Комплектная поставка,-,-,-,24VDC
C-QT6Q3-2,QT-6Q3,-,6JB001,-,Комплектная поставка,-,-,-,AI
C-TT6T1,TT-6T1,-,6JB001,-,Комплектная поставка,-,-,-,AI
C-UZH11/1-1,UZ H11/1,-,6JB001,-,Комплектная поставка,-,-,-,DI/DO
C-UZH11/1-2,UZ H11/1,-,6JB001,-,Комплектная поставка,-,-,-,AO
C-6JB001-1,6JB001,"М25х1,5",7-ШС6.1,-,"Кабель управления, экранированный, МКЭШВнг(А)-LS 7х2х1,0",10,РЗ-ЦХ-25,2,DI
C-6JB001-2,6JB001,"М25х1,5",7-ШС6.1,-,"Кабель управления, экранированный, МКЭШВнг(А)-LS 7х2х1,0",10,РЗ-ЦХ-25,2,DI
C-6JB001-3,6JB001,"М25х1,5",7-ШС6.1,-,"Кабель управления, КГВВнг(А)-LS 10х1,5",10,РЗ-ЦХ-25,2,24VDC
C-6JB001-4,6JB001,"М25х1,5",7-ШС6.1,-,"Кабель управления, экранированный, МКЭШВнг(А)-LS 7х2х1,0",10,РЗ-ЦХ-25,2,AI/DI
C-6JB001-5,6JB001,"М20х1,5",7-ШС6.1,-,"Кабель контрольный, КГВВнг(А)-LS 4х1,5",10,РЗ-ЦХ-15,2,DO
C-6JB001-6,6JB001,"М20х1,5",7-ШС6.1,-,"Кабель контрольный, КГВВнг(А)-LS 4х1,5",10,РЗ-ЦХ-15,2,DO
C-6JB001-7,6JB001,"М20х1,5",7-ШС6.1,-,"Кабель контрольный, КГВВнг(А)-LS 4х1,5",10,РЗ-ЦХ-15,2,DO
C-6JB001-8,6JB001,"М20х1,5",7-ШС6.1,-,"Кабель контрольный, КГВВнг(А)-LS 4х1,5",10,РЗ-ЦХ-15,2,DO
C-6JB001-9,6JB001,"М20х1,5",7-ШС6.1,-,"Кабель контрольный, КГВВнг(А)-LS 4х1,5",10,РЗ-ЦХ-15,2,DO
C-6JB001-10,6JB001,"М20х1,5",7-ШС6.1,-,"Кабель контрольный, КГВВнг(А)-LS 4х1,5",10,РЗ-ЦХ-15,2,DO
C-6JB001-11,6JB001,"М20х1,5",7-ШС6.1,-,"Кабель контрольный, КГВВнг(А)-LS 4х1,5",10,РЗ-ЦХ-15,2,DO
C-6JB001-12,6JB001,"М25х1,5",7-ШС6.1,-,"Кабель управления, экранированный, МКЭШВнг(А)-LS 7х2х1,0",10,РЗ-ЦХ-25,2,AI/AO/ DI/DO
C-6JB001-13,6JB001,"М20х1,5",7-ШС6.1,-,"Кабель контрольный, КГВВнг(А)-LS 4х1,5",10,РЗ-ЦХ-15,2,220VAC
C-6kshe5,6кшэ5,-,6JBZ001,-,Комплектная поставка,-,-,-,DO/DI
C-6kshe2,6кшэ2,-,6JBZ001,-,Комплектная поставка,-,-,-,DO/DI
C-6kshe100,6кшэ100,-,6JBZ001,-,Комплектная поставка,-,-,-,DO/DI
C-PZT6P20/1,PZT-6P20/1,-,6JBZ001,-,Комплектная поставка,-,-,-,AI
C-PZT6P20/2,PZT-6P20/2,-,6JBZ001,-,Комплектная поставка,-,-,-,AI
C-PZT6P21/1,PZT-6P21/1,-,6JBZ001,-,Комплектная поставка,-,-,-,AI
C-PZT6P21/2,PZT-6P21/2,-,6JBZ001,-,Комплектная поставка,-,-,-,AI
-,QZE-6Q21/1,-,QZT-6Q21/1,-,Комплектная поставка,-,-,-,-
C-QZT6Q21/1-1,QZT-6Q21/1,-,6JBZ001,-,Комплектная поставка,-,-,-,24VDC
C-QZT6Q21/1-2,QZT-6Q21/1,-,6JBZ001,-,Комплектная поставка,-,-,-,AI
-,QZE-6Q21/2,,QZT-6Q21/2,-,Комплектная поставка,-,-,-,-
C-QZT6Q21/2-1,QZT-6Q21/2,-,6JBZ001,-,Комплектная поставка,-,-,-,24VDC
C-QZT6Q21/2-2,QZT-6Q21/2,-,6JBZ001,-,Комплектная поставка,-,-,-,AI
C-6JBZ001-1,6JBZ001,"М32х1,5",7-ПАЗ,-,"Кабель управления, экранированный, МКЭШВнг(А)-LS 12х2х1,0",110,РЗ-ЦХ-32,2,DI/AI
C-6JBZ001-2,6JBZ001,"М25х1,5",7-ПАЗ,-,"Кабель управления, КГВВнг(А)-LS 10х1,5",110,РЗ-ЦХ-25,2,24VDC
C-6JBZ001-3,6JBZ001,"М20х1,5",7-ПАЗ,-,"Кабель контрольный, КГВВнг(А)-LS 4х1,5",110,РЗ-ЦХ-15,2,DO
C-6JBZ001-4,6JBZ001,"М20х1,5",7-ПАЗ,-,"Кабель контрольный, КГВВнг(А)-LS 4х1,5",110,РЗ-ЦХ-15,2,DO
C-6JBZ001-5,6JBZ001,"М20х1,5",7-ПАЗ,-,"Кабель контрольный, КГВВнг(А)-LS 4х1,5",110,РЗ-ЦХ-15,2,DO
C-6kshe102-1,6кшэ102,-,6JB002,-,Комплектная поставка,-,-,-,DO
C-6kshe102-2,6кшэ102,-,6JB002,-,Комплектная поставка,-,-,-,DI
C-6kshe103-1,6кшэ103,-,6JB002,-,Комплектная поставка,-,-,-,DO
C-6kshe103-2,6кшэ103,-,6JB002,-,Комплектная поставка,-,-,-,DI
C-6kshe104-1,6кшэ104,-,6JB002,-,Комплектная поставка,-,-,-,DO
C-6kshe104-2,6кшэ104,-,6JB002,-,Комплектная поставка,-,-,-,DI
C-LT6L3,LT-6L3,-,6JB002,-,Комплектная поставка,-,-,-,AI
C-PT6P10,PT-6P10,-,6JB002,-,Комплектная поставка,-,-,-,AI
C-PT6P11,PT-6P11,-,6JB002,-,Комплектная поставка,-,-,-,AI
C-TT6T2,TT-6T2,-,6JB002,-,Комплектная поставка,-,-,-,AI
C-UZHМ3/1-1,UZ Hм3/1,-,6JB002,-,Комплектная поставка,-,-,-,DI/DO
C-UZHМ3/1-2,UZ Hм3/1,-,6JB002,-,Комплектная поставка,-,-,-,AO
С-SB1HM3/1,XS_Hм3/1,-,6JB002,-,Комплектная поставка,-,-,-,DO
C-6JB002-1,6JB002,"М32х1,5",7-ШС6.1,-,"Кабель управления, экранированный, МКЭШВнг(А)-LS 10х2х1,0",10,РЗ-ЦХ-32,2,DI/AI/DO
C-6JB002-2,6JB002,"М20х1,5",7-ШС6.1,-,"Кабель контрольный, КГВВнг(А)-LS 4х1,5",10,РЗ-ЦХ-15,2,DO
C-6JB002-3,6JB002,"М20х1,5",7-ШС6.1,-,"Кабель контрольный, КГВВнг(А)-LS 4х1,5",10,РЗ-ЦХ-15,2,DO
C-6JB002-4,6JB002,"М20х1,5",7-ШС6.1,-,"Кабель контрольный, КГВВнг(А)-LS 4х1,5",10,РЗ-ЦХ-15,2,DO
C-6JB002-5,6JB002,"М25х1,5",7-ШС6.1,-,"Кабель управления, экранированный, МКЭШВнг(А)-LS 7х2х1,0",10,РЗ-ЦХ-25,2,DI/DO/AO
C-LT6L1,LT-6L1,-,6JB003,-,Комплектная поставка,-,-,-,AI
-,QE-6Q2,-,QT-6Q2,-,Комплектная поставка,-,-,-,-
C-QT6Q2-1,QT-6Q2,-,6JB003,-,Комплектная поставка,-,-,-,24VDC
C-QT6Q2-2,QT-6Q2,-,6JB003,-,Комплектная поставка,-,-,-,AI
C-6JB003-1,6JB003,"М25х1,5",7-ШС6.1,-,"Кабель управления, экранированный, МКЭШВнг(А)-LS 4х2х1,0",35,РЗ-ЦХ-25,2,AI
C-6JB003-2,6JB003,"М20х1,5",7-ШС6.1,-,"Кабель контрольный, КГВВнг(А)-LS 4х1,5",35,РЗ-ЦХ-15,2,24VDC
-,QZE-6Q20/1,-,QZT-6Q20/1,-,Комплектная поставка,-,-,-,-
C-QZT6Q20/1-1,QZT-6Q20/1,-,6JBZ002,-,Комплектная поставка,-,-,-,24VDC
C-QZT6Q20/1-2,QZT-6Q20/1,-,6JBZ002,-,Комплектная поставка,-,-,-,AI
-,QZE-6Q20/2,-,QZT-6Q20/2,-,Комплектная поставка,-,-,-,-
C-QZT6Q20/2-1,QZT-6Q20/2,-,6JBZ002,-,Комплектная поставка,-,-,-,24VDC
C-QZT6Q20/2-2,QZT-6Q20/2,-,6JBZ002,-,Комплектная поставка,-,-,-,AI
C-PZS6P23/1-1,PZS-6P23/1,-,6JBZ002,-,Комплектная поставка,-,-,-,24VDC
C-PZS6P23/1-2,PZS-6P23/1,-,6JBZ002,-,Комплектная поставка,-,-,-,DI
C-PZS6P23/2-1,PZS-6P23/2,-,6JBZ002,-,Комплектная поставка,-,-,-,24VDC
C-PZS6P23/2-2,PZS-6P23/2,-,6JBZ002,-,Комплектная поставка,-,-,-,DI
C-LZT6L20/1,LZT-6L20/1,-,6JBZ002,-,Комплектная поставка,-,-,-,AI
C-LZT6L20/2,LZT-6L20/2,-,6JBZ002,-,Комплектная поставка,-,-,-,AI
C-6JBZ002-1,6JBZ002,"М32х1,5",7-ПАЗ,-,"Кабель управления, экранированный, МКЭШВнг(А)-LS 8х2х1,0",100,РЗ-ЦХ-32,2,DI/AI
C-6JBZ002-2,6JBZ002,"М25х1,5",7-ПАЗ,-,"Кабель управления, КГВВнг(А)-LS 14х1,5",100,РЗ-ЦХ-25,2,24VDC
C-ШС6.1-Bus1,7-ШС6.1,"М20х1,5",7-ШС3.1,"М20х1,5","Кабель НВПЭнг(С)-LS 4х2х0,52",30,-,-,Regul-Bus1
C-ШС6.1-Bus2,7-ШС6.1,"М20х1,5",7-ШС3.1,"М20х1,5","Кабель НВПЭнг(С)-LS 4х2х0,52",30,-,-,Regul-Bus2
C-ШС6.1-3,7-ШС6.2,"М32х1,5",7-ШС6.1,"М32х1,5","Кабель управления, экранированный, МКЭШВнг(А)-LS 7х2х1,0",3,РЗ-ЦХ-32,1,DI/DO
C-ШС6.2-1,7-ПАЗ,-,7-ШС6.2,"М20х1,5","Кабель управления, экранированный, МКЭШВнг(А)-LS 2х2х1,0",100,-,-,DO
C-7zpe2,7зпэ2,-,7JB001,-,Комплектная поставка,-,-,-,DO/DI
C-7kshe6,7кшэ6,-,7JB001,-,Комплектная поставка,-,-,-,DO/DI
C-7kshe7,7кшэ7,-,7JB001,-,Комплектная поставка,-,-,-,DO/DI
C-7kshe1,7кшэ1,-,7JB001,-,Комплектная поставка,-,-,-,DO/DI
C-7kshe3,7кшэ3,-,7JB001,-,Комплектная поставка,-,-,-,DO/DI
C-7kshe8,7кшэ8,-,7JB001,-,Комплектная поставка,-,-,-,DO/DI
C-FT7F1-1,FT-7F1,-,7JB001,-,Комплектная поставка,-,-,-,220VAC
C-FT7F1-2,FT-7F1,-,7JB001,-,Комплектная поставка,-,-,-,AI
C-FT7F2-1,FT-7F2,-,7JB001,-,Комплектная поставка,-,-,-,24VDC
C-FT7F2-2,FT-7F2,-,7JB001,-,Комплектная поставка,-,-,-,AI
C-PT7P6,PT-7P6,-,7JB001,-,Комплектная поставка,-,-,-,AI
C-PT7P10,PT-7P10,-,7JB001,-,Комплектная поставка,-,-,-,AI
C-PT7P17,PT-7P17,-,7JB001,-,Комплектная поставка,-,-,-,AI
-,QE-7Q1,-,QT-7Q1,-,Комплектная поставка,-,-,-,-
C-QT7Q1-1,QT-7Q1,-,7JB001,-,Комплектная поставка,-,-,-,24VDC
C-QT7Q1-2,QT-7Q1,-,7JB001,-,Комплектная поставка,-,-,-,AI
C-TT7T1,TT-7T1,-,7JB001,-,Комплектная поставка,-,-,-,AI
C-UZH12/1-1,UZ H12/1,-,7JB001,-,Комплектная поставка,-,-,-,DI/DO
C-UZH12/1-2,UZ H12/1,-,7JB001,-,Комплектная поставка,-,-,-,AO
C-UZH12/2-1,UZ H12/2,-,7JB001,-,Комплектная поставка,-,-,-,DI/DO
C-UZH12/2-2,UZ H12/2,-,7JB001,-,Комплектная поставка,-,-,-,AO
C-7JB001-1,7JB001,"М25х1,5",7-ШС7.1,-,"Кабель управления, экранированный, МКЭШВнг(А)-LS 4х2х1,0",15,РЗ-ЦХ-25,1,DI
C-7JB001-2,7JB001,"М25х1,5",7-ШС7.1,-,"Кабель управления, экранированный, МКЭШВнг(А)-LS 7х2х1,0",15,РЗ-ЦХ-25,1,DI
C-7JB001-3,7JB001,"М25х1,5",7-ШС7.1,-,"Кабель управления, КГВВнг(А)-LS 10х1,5",15,РЗ-ЦХ-25,1,24VDC
C-7JB001-4,7JB001,"М32х1,5",7-ШС7.1,-,"Кабель управления, экранированный, МКЭШВнг(А)-LS 8х2х1,0",15,РЗ-ЦХ-32,1,AI
C-7JB001-5,7JB001,"М32х1,5",7-ШС7.1,-,"Кабель управления, экранированный, МКЭШВнг(А)-LS 10х2х1,0",15,РЗ-ЦХ-32,1,AO/DI/DO
C-7JB001-6,7JB001,"М20х1,5",7-ШС7.1,-,"Кабель контрольный, КГВВнг(А)-LS 4х1,5",15,РЗ-ЦХ-15,1,DO
C-7JB001-7,7JB001,"М20х1,5",7-ШС7.1,-,"Кабель контрольный, КГВВнг(А)-LS 4х1,5",15,РЗ-ЦХ-15,1,DO
C-7JB001-8,7JB001,"М20х1,5",7-ШС7.1,-,"Кабель контрольный, КГВВнг(А)-LS 4х1,5",15,РЗ-ЦХ-15,1,DO
C-7JB001-9,7JB001,"М20х1,5",7-ШС7.1,-,"Кабель контрольный, КГВВнг(А)-LS 4х1,5",15,РЗ-ЦХ-15,1,DO
C-7JB001-10,7JB001,"М20х1,5",7-ШС7.1,-,"Кабель контрольный, КГВВнг(А)-LS 4х1,5",15,РЗ-ЦХ-15,1,DO
C-7JB001-11,7JB001,"М20х1,5",7-ШС7.1,-,"Кабель контрольный, КГВВнг(А)-LS 4х1,5",15,РЗ-ЦХ-15,1,DO
C-7kshe5,7кшэ5,-,7JBZ001,-,Комплектная поставка,-,-,-,DO/DI
C-7kshe2,7кшэ2,-,7JBZ001,-,Комплектная поставка,-,-,-,DO/DI
C-7kshe21,7кшэ21,-,7JBZ001,-,Комплектная поставка,-,-,-,DO/DI
C-PZT7P12/1,PZT-7P12/1,-,7JBZ001,-,Комплектная поставка,-,-,-,AI
C-PZT7P12/2,PZT-7P12/2,-,7JBZ001,-,Комплектная поставка,-,-,-,AI
C-PZT7P13/1,PZT-7P13/1,-,7JBZ001,-,Комплектная поставка,-,-,-,AI
C-PZT7P13/2,PZT-7P13/2,-,7JBZ001,-,Комплектная поставка,-,-,-,AI
