Кабель,От позиция,Каб. ввод,До позиции,Каб. ввод,"Марка кабеля, количество жил, сечение","Длина,",Тип,"Длина,",Тип сигнала
C-2zpe38-1,2зпэ38,"М20х1,5",7-ШС1.1,-,"Кабель контрольный, КГВВнг(А)-LS 4х1,5",20,РЗ-ЦХ-15,1,DO
C-2zpe38-2,2зпэ38,"М20х1,5",7-ШС1.1,-,"Кабель управления, экранированный, МКЭШВнг(А)-LS 2х2х1,0",20,РЗ-ЦХ-20,1,DI
C-2zpe112-1,2зпэ112,"М20х1,5",7-ШС1.1,-,"Кабель контрольный, КГВВнг(А)-LS 4х1,5",45,РЗ-ЦХ-15,1,DO
C-2zpe112-2,2зпэ112,"М20х1,5",7-ШС1.1,-,"Кабель управления, экранированный, МКЭШВнг(А)-LS 2х2х1,0",45,РЗ-ЦХ-20,1,DI
C-LS2L28,LS-2L28,"М20х1,5",7-ШС2.1,-,"Кабель управления, экранированный, МКЭШВнг(А)-LS 2х2х1,0",15,РЗ-ЦХ-20,2,DI
C-LS25L1,LS-25L1,"М20х1,5",7-ШС2.1,-,"Кабель управления, экранированный, МКЭШВнг(А)-LS 2х2х1,0",10,РЗ-ЦХ-20,2,DI
C-2kshe12-1,2кшэ12,"М20х1,5",7-ШС2.1,-,"Кабель контрольный, КГВВнг(А)-LS 4х1,5",10,"РЗ-ЦХ-15
 Ц-15х2,8","2
 5",DO
C-2kshe12-2,2кшэ12,"М20х1,5",7-ШС2.1,-,"Кабель управления, экранированный, МКЭШВнг(А)-LS 2х2х1,0",10,"РЗ-ЦХ-20
 Ц-20х2,8","2
 5",DI
C-LS2L30,LS-2L30,"М20х1,5",7-ШС3.1,-,"Кабель управления, экранированный, МКЭШВнг(А)-LS 2х2х1,0",75,"РЗ-ЦХ-20
 Ц-20х2,8","2
 4",DI
-,QE-3Q1,"М20х1,5",QT-3Q1,"М20х1,5",Комплектная поставка,-,-,-,AI
C-QT3Q1-1,QT-3Q1,"М20х1,5",7-ШС3.1,-,"Кабель управления, экранированный, МКЭШВнг(А)-LS 1х2х1,0",10,"РЗ-ЦХ-15
 Ц-15х2,8","2
 5",AI
C-QT3Q1-2,QT-3Q1,"М20х1,5",7-ШС3.1,-,"Кабель контрольный, КГВВнг(А)-LS 4х1,5",10,"РЗ-ЦХ-15
 Ц-15х2,8","2
 5",24VDC
C-3zpe11-1,3зпэ11,"М20х1,5",7-ШС3.1,-,"Кабель контрольный, КГВВнг(А)-LS 4х1,5",45,"РЗ-ЦХ-15
 Ц-15х2,8","2
 4",DO
C-3zpe11-2,3зпэ11,"М20х1,5",7-ШС3.1,-,"Кабель управления, экранированный, МКЭШВнг(А)-LS 2х2х1,0",45,"РЗ-ЦХ-20
 Ц-20х2,8","2
 4",DI
C-2zpv12-1,2зпv12,"М25х1,5",7-ШС3.1,-,"Кабель управления, экранированный, МКЭШВнг(А)-LS 4х2х1,0",75,РЗ-ЦХ-25,2,DO/DI
C-LS25L2,LS-25L2,"М20х1,5",7-ШС5.1,-,"Кабель управления, экранированный, МКЭШВнг(А)-LS 2х2х1,0",5,"РЗ-ЦХ-20
 Ц-20х2,8","2
 3",DI
C-LS25L3,LS-25L3,"М20х1,5",7-ШС9.1,-,"Кабель управления, экранированный, МКЭШВнг(А)-LS 2х2х1,0",10,"РЗ-ЦХ-20
 Ц-20х2,8","2
 4",DI
C-LS25L4,LS-25L4,"М20х1,5",7-ШС11.1,-,"Кабель управления, экранированный, МКЭШВнг(А)-LS 2х2х1,0",15 15,"РЗ-ЦХ-20
 Ц-20х2,8","2
 2",DI
-,QE-11Q1,"М20х1,5",QT-11Q1,"М20х1,5",Комплектная поставка,-,-,-,AI
C-QT11Q1-1,QT-11Q1,"М20х1,5",7-ШС11.1,-,"Кабель управления, экранированный, МКЭШВнг(А)-LS 1х2х1,0",10 15,"РЗ-ЦХ-15
 Ц-15х2,8","2
 3",AI
C-QT11Q1-2,QT-11Q1,"М20х1,5",7-ШС11.1,-,"Кабель контрольный, КГВВнг(А)-LS 4х1,5",10 15,"РЗ-ЦХ-15
 Ц-15х2,8","2
 3",24VDC
-,QE-11Q2,"М20х1,5",QT-11Q2,"М20х1,5",Комплектная поставка,-,-,-,AI
C-QT11Q2-1,QT-11Q2,"М20х1,5",7-ШС11.1,-,"Кабель управления, экранированный, МКЭШВнг(А)-LS 1х2х1,0",10 15,"РЗ-ЦХ-15
 Ц-15х2,8","2
 3",AI
C-QT11Q2-2,QT-11Q2,"М20х1,5",7-ШС11.1,-,"Кабель контрольный, КГВВнг(А)-LS 4х1,5",10 15,"РЗ-ЦХ-15
 Ц-15х2,8","2
 3",24VDC
C-FT11F8-1,FT-11F8,"М20х1,5",7-ШС11.1,-,"Кабель управления, экранированный, МКЭШВнг(А)-LS 1х2х1,0",5 15,РЗ-ЦХ-15,2,AI
C-FT11F8-2,FT-11F8,"М20х1,5",7-ШС11.1,-,"Кабель контрольный, КГВВнг(А)-LS 4x1,5",5 15,РЗ-ЦХ-15,2,24VDC
C-11zpe5-1,11зпэ5,"М20х1,5",7-ШС11.1,-,"Кабель контрольный, КГВВнг(А)-LS 4х1,5",10 15,РЗ-ЦХ-15,1,DO
C-11zpe5-2,11зпэ5,"М20х1,5",7-ШС11.1,-,"Кабель управления, экранированный, МКЭШВнг(А)-LS 2х2х1,0",10 15,РЗ-ЦХ-20,1,DI
C-11zpe8-1,11зпэ8,"М20х1,5",7-ШС11.1,-,"Кабель контрольный, КГВВнг(А)-LS 4х1,5",5 15,"РЗ-ЦХ-15
 Ц-15х2,8","2
 3",DO
C-11zpe8-2,11зпэ8,"М20х1,5",7-ШС11.1,-,"Кабель управления, экранированный, МКЭШВнг(А)-LS 2х2х1,0",5 15,РЗ-ЦХ-20,"2
 3",DI
