PZT_5P14_1_QUALITY,MODBUS TCP/IP,3x,89,Качество сигнала
PZT_5P14_1_SIGN,MODBUS TCP/IP,3x,90,Сигнализация
PZT_5P14_2_VALUE,MODBUS TCP/IP,3x,91,Значение в инженерных единицах
PZT_5P14_2_ALARM,MODBUS TCP/IP,3x,93,Авария
PZT_5P14_2_QUALITY,MODBUS TCP/IP,3x,94,Качество сигнала
PZT_5P14_2_SIGN,MODBUS TCP/IP,3x,95,Сигнализация
LZT_5L13_1_VALUE,MODBUS TCP/IP,3x,96,Значение в инженерных единицах
LZT_5L13_1_ALARM,MODBUS TCP/IP,3x,98,Авария
LZT_5L13_1_QUALITY,MODBUS TCP/IP,3x,99,Качество сигнала
LZT_5L13_1_SIGN,MODBUS TCP/IP,3x,100,Сигнализация
LZT_5L13_2_VALUE,MODBUS TCP/IP,3x,101,Значение в инженерных единицах
LZT_5L13_2_ALARM,MODBUS TCP/IP,3x,103,Авария
LZT_5L13_2_QUALITY,MODBUS TCP/IP,3x,104,Качество сигнала
LZT_5L13_2_SIGN,MODBUS TCP/IP,3x,105,Сигнализация
TZT_5T13_1_VALUE,MODBUS TCP/IP,3x,106,Значение в инженерных единицах
TZT_5T13_1_ALARM,MODBUS TCP/IP,3x,108,Авария
TZT_5T13_1_QUALITY,MODBUS TCP/IP,3x,109,Качество сигнала
TZT_5T13_1_SIGN,MODBUS TCP/IP,3x,110,Сигнализация
TZT_5T13_2_VALUE,MODBUS TCP/IP,3x,111,Значение в инженерных единицах
TZT_5T13_2_ALARM,MODBUS TCP/IP,3x,113,Авария
TZT_5T13_2_QUALITY,MODBUS TCP/IP,3x,114,Качество сигнала
TZT_5T13_2_SIGN,MODBUS TCP/IP,3x,115,Сигнализация
PZT_5P15_1_VALUE,MODBUS TCP/IP,3x,116,Значение в инженерных единицах
PZT_5P15_1_ALARM,MODBUS TCP/IP,3x,118,Авария
PZT_5P15_1_QUALITY,MODBUS TCP/IP,3x,119,Качество сигнала
PZT_5P15_1_SIGN,MODBUS TCP/IP,3x,120,Сигнализация
PZT_5P15_2_VALUE,MODBUS TCP/IP,3x,121,Значение в инженерных единицах
PZT_5P15_2_ALARM,MODBUS TCP/IP,3x,123,Авария
PZT_5P15_2_QUALITY,MODBUS TCP/IP,3x,124,Качество сигнала
PZT_5P15_2_SIGN,MODBUS TCP/IP,3x,125,Сигнализация
LT_5L2_VALUE,MODBUS TCP/IP,3x,126,Значение в инженерных единицах
LT_5L2_ALARM,MODBUS TCP/IP,3x,128,Авария
LT_5L2_QUALITY,MODBUS TCP/IP,3x,129,Качество сигнала
LT_5L2_SIGN,MODBUS TCP/IP,3x,130,Сигнализация
LT_5L3_VALUE,MODBUS TCP/IP,3x,131,Значение в инженерных единицах
LT_5L3_ALARM,MODBUS TCP/IP,3x,133,Авария
LT_5L3_QUALITY,MODBUS TCP/IP,3x,134,Качество сигнала
LT_5L3_SIGN,MODBUS TCP/IP,3x,135,Сигнализация
LT_5L4_VALUE,MODBUS TCP/IP,3x,136,Значение в инженерных единицах
LT_5L4_ALARM,MODBUS TCP/IP,3x,138,Авария
LT_5L4_QUALITY,MODBUS TCP/IP,3x,139,Качество сигнала
LT_5L4_SIGN,MODBUS TCP/IP,3x,140,Сигнализация
PZT_5P10_1_VALUE,MODBUS TCP/IP,3x,141,Значение в инженерных единицах
PZT_5P10_1_ALARM,MODBUS TCP/IP,3x,143,Авария
PZT_5P10_1_QUALITY,MODBUS TCP/IP,3x,144,Качество сигнала
PZT_5P10_1_SIGN,MODBUS TCP/IP,3x,145,Сигнализация
PZT_5P10_2_VALUE,MODBUS TCP/IP,3x,146,Значение в инженерных единицах
PZT_5P10_2_ALARM,MODBUS TCP/IP,3x,148,Авария
PZT_5P10_2_QUALITY,MODBUS TCP/IP,3x,149,Качество сигнала
PZT_5P10_2_SIGN,MODBUS TCP/IP,3x,150,Сигнализация
PZT_5P11_1_VALUE,MODBUS TCP/IP,3x,151,Значение в инженерных единицах
PZT_5P11_1_ALARM,MODBUS TCP/IP,3x,153,Авария
PZT_5P11_1_QUALITY,MODBUS TCP/IP,3x,154,Качество сигнала
PZT_5P11_1_SIGN,MODBUS TCP/IP,3x,155,Сигнализация
PZT_5P11_2_VALUE,MODBUS TCP/IP,3x,156,Значение в инженерных единицах
PZT_5P11_2_ALARM,MODBUS TCP/IP,3x,158,Авария
PZT_5P11_2_QUALITY,MODBUS TCP/IP,3x,159,Качество сигнала
PZT_5P11_2_SIGN,MODBUS TCP/IP,3x,160,Сигнализация
