id,Название,Изделие,Ссылка
47,ПТК AstraIDE v1.7.1.0,АРМ ГП3,\\advengaNAS\FS\03 Дистрибутивы\Прософт\REGLAB\00 ПТК Windows\2023.12.28.0\00 Astra.IDE
48,Плагин AstraRegul,АРМ ГП3,\\advengaNAS\FS\03 Дистрибутивы\Прософт\REGLAB\00 ПТК Windows\2023.12.28.0\02 Плагин AstraRegul
49,Astra.AStudio ,АРМ ГП3,\\advengaNAS\FS\03 Дистрибутивы\Прософт\REGLAB\00 ПТК Windows\2024.03.20.0\Astra.AStudio\astra.astudio-x64-1.5.1+b1.r104591
50,Astra.Domain,АРМ ГП3,\\advengaNAS\FS\03 Дистрибутивы\Прософт\REGLAB\00 ПТК Windows\2024.03.20.0\Astra.Domain
51,Astra.Historian,АРМ ГП3,\\advengaNAS\FS\03 Дистрибутивы\Прософт\REGLAB\00 ПТК Windows\2024.03.20.0\Astra.Historian
52,Astra.HMI,АРМ ГП3,\\advengaNAS\FS\03 Дистрибутивы\Прософт\REGLAB\00 ПТК Windows\2024.03.20.0\Astra.HMI
53,Astra.HMI.Alarms,АРМ ГП3,\\advengaNAS\FS\03 Дистрибутивы\Прософт\REGLAB\00 ПТК Windows\2024.03.20.0\Astra.HMI.Alarms
54,Astra.HMI.Charts,АРМ ГП3,\\advengaNAS\FS\03 Дистрибутивы\Прософт\REGLAB\00 ПТК Windows\2024.03.20.0\Astra.HMI.Charts
55,Astra.HMI.CommonLib,АРМ ГП3,\\advengaNAS\FS\03 Дистрибутивы\Прософт\REGLAB\00 ПТК Windows\2024.03.20.0\Astra.HMI.CommonLib
56,Astra.HMI.Explorer,АРМ ГП3,\\advengaNAS\FS\03 Дистрибутивы\Прософт\REGLAB\00 ПТК Windows\2024.03.20.0\Astra.HMI.Explorer
57,Astra.HMI.IntegrityControl,АРМ ГП3,\\advengaNAS\FS\03 Дистрибутивы\Прософт\REGLAB\00 ПТК Windows\2024.03.20.0\Astra.HMI.IntegrityControl
58,Astra.HMI.Tables,АРМ ГП3,\\advengaNAS\FS\03 Дистрибутивы\Прософт\REGLAB\00 ПТК Windows\2024.03.20.0\Astra.HMI.Tables
59,Astra.HMI.Trends,АРМ ГП3,\\advengaNAS\FS\03 Дистрибутивы\Прософт\REGLAB\00 ПТК Windows\2024.03.20.0\Astra.HMI.Trends
60,Astra.Security,АРМ ГП3,\\advengaNAS\FS\03 Дистрибутивы\Прософт\REGLAB\00 ПТК Windows\2024.03.20.0\Astra.Security
61,Astra.Server,АРМ ГП3,\\advengaNAS\FS\03 Дистрибутивы\Прософт\REGLAB\00 ПТК Windows\2024.03.20.0\Astra.Server
62,Astra.Statistics,АРМ ГП3,\\advengaNAS\FS\03 Дистрибутивы\Прософт\REGLAB\00 ПТК Windows\2024.03.20.0\Astra.Statistics
63,Astra.Tools,АРМ ГП3,\\advengaNAS\FS\03 Дистрибутивы\Прософт\REGLAB\00 ПТК Windows\2024.03.20.0\Astra.Tools
64,Astra.Licensing,АРМ ГП3,\\advengaNAS\FS\03 Дистрибутивы\Прософт\REGLAB\00 ПТК Windows\2024.03.20.0\Astra.Licensing
65,Библиотека PsBase для Astra.IDE,АРМ ГП3,\\advengaNAS\FS\03 Дистрибутивы\Прософт\REGLAB\09 Библиотеки
66,Библиотека PsDiagn для Astra.IDE,АРМ ГП3,\\advengaNAS\FS\03 Дистрибутивы\Прософт\REGLAB\09 Библиотеки
67,Библиотека PsTechEE для Astra.IDE,АРМ ГП3,\\advengaNAS\FS\03 Дистрибутивы\Прософт\REGLAB\09 Библиотеки
