Ввод строк,Проектная позиция,,,Проектная позиция,Вспомогательный символ,Название для DO,ПУСК/СТОП,СТОП,,
TT-5T1 - Температура в линии нагнетания насоса Н10/1,,TT-5T1,-,Температура,в,линии,нагнетания,насоса,Н10/1,
TT-5T2 - Температура фильтрата АД2 после фильтров ФМ3/1-2,,TT-5T2,-,Температура,фильтрата,АД2,после,фильтров,ФМ3/1-2,
QT-5Q1 - Электропро- водность пермеата ОММ2,,QT-5Q1,-,Электропро-,водность,пермеата,ОММ2,,,
PT-5P4 - Давление в линии нагнетания насоса Н10/1,,PT-5P4,-,Давление,в,линии,нагнетания,насоса,Н10/1,
PT-5P5 - Давление концентрата ОММ2 в Е6/1,,PT-5P5,-,Давление,концентрата,ОММ2,в,Е6/1,,
PT-5P6 - Давление пермеата ОММ2,,PT-5P6,-,Давление,пермеата,ОММ2,,,,
"PT-5P10 - Давление фильтрата АД2 перед фильтрами ФМ3/1,2",,PT-5P10,-,Давление,фильтрата,АД2,перед,фильтрами,"ФМ3/1,2",
PT-5P11 - Давление фильтрата АД2 после фильтров ФМ3/1-2,,PT-5P11,-,Давление,фильтрата,АД2,после,фильтров,ФМ3/1-2,
,,,,,,,,,,
,,,,,,,,,,
,разрядность,кол-во модулей,разрядность,кол-во модулей,разрядность,кол-во модулей,разрядность,кол-во модулей,сумма сигналов,
,AI,,DI,,AQ,,DQ,,,
,,,,,,,,,,
Шкаф 7-ШУ-РСУ,,,,,,,,,0,
Шкаф 7-ШС1.1,16,1,32,3,0,0,32,3,208,
Шкаф 7-ШС2.1,16,1,32,2,8,2,32,2,160,
Шкаф 7-ШС3.1,16,1,32,4,8,1,32,3,248,
Шкаф 7-ШС4.1,16,2,32,2,8,1,32,2,168,
Шкаф 7-ШС5.1,16,1,32,2,8,1,32,1,120,
Шкаф 7-ШС6.1,16,1,32,2,8,1,32,1,120,
Шкаф 7-ШС7.1,16,1,32,2,8,1,32,1,120,
Шкаф 7-ШС8.1,16,2,32,3,8,2,32,2,208,
Шкаф 7-ШС9.1,16,2,32,2,8,2,32,2,176,
Шкаф 7-ШС10.1,16,1,32,2,8,1,32,2,152,
Шкаф 7-ШС11.1,16,1,32,2,8,1,32,2,152,
Шкаф 7-ШС12.1,16,3,32,3,8,3,32,2,232,
Шкаф 7-ШС13.1,16,1,32,2,8,2,32,2,160,
Шкаф 7-ШС14.1,16,1,32,4,8,2,32,3,256,
Шкаф 7-ШС15.1,16,2,32,2,8,1,32,2,168,
Шкаф 7-ШС16.1,16,1,32,2,8,1,32,1,120,
Шкаф 7-ШС17.1,16,1,32,2,8,1,32,1,120,
Шкаф 7-ШС18.1,16,1,32,2,8,1,32,2,152,
Шкаф 7-ШС19.1,16,2,32,3,8,2,32,2,208,
Шкаф 7-ШС20.1,16,1,32,1,8,1,32,1,88,
Шкаф 7-ШС21.1,16,1,32,2,8,1,32,2,152,
Шкаф 7-ШС22.1,16,1,32,3,8,1,32,2,184,
Шкаф 7-ШС23.1,16,3,32,3,8,3,32,2,232,
Шкаф 7-ШС24.1,16,2,32,4,8,0,32,2,224,
Шкаф 7-ШС25.1,16,2,32,3,8,0,32,2,192,
Шкаф 12-ШУ-РСУ,16,,32,,8,,32,,0,
Шкаф 12-ШС1.1,16,1,32,1,8,0,32,1,80,
Шкаф 12-ШС2.1,16,1,32,1,8,0,32,1,80,
Шкаф 12-ШС3.1,16,1,32,1,8,0,32,1,80,
Шкаф 12-ШС14.1,16,3,32,3,8,3,32,2,232,
Шкаф 12-ШС15.1,16,3,32,3,8,3,32,2,232,
Шкаф 12-ШС27.1,16,1,32,2,8,1,32,1,120,
Шкаф 12-ШС28.1,16,1,32,2,8,1,32,1,120,
