Кабель,Проводник,Проектная позиция Откуда,Клеммный ряд Откуда,Клемма Откуда,Подключено,Проверено,Проектная позиция Куда,Клеммный ряд Куда,Клемма Куда,Подключено,Проверено,Комментарий
C-3JB003-1,HS3zpe19 (N),3JB003,XT1,1,Да,Да,7-ШС3.1,XT1,299,Да,Да,
,HSC3zpe19 (L),3JB003,XT1,2,Да,Да,7-ШС3.1,XT1,298,Да,Да,
,HSO3zpe19 (L),3JB003,XT1,3,Да,Да,7-ШС3.1,XT1,297,Да,Да,
,3zpe19-PE,3JB003,XT1,PE,Да,Да,7-ШС3.1,XT1,300,Да,Да,
C-3JB003-2,FT-3F9 (24В),3JB003,XT2,1,Да,Да,7-ШС3.1,XT3,37,Да,Да,
,FT-3F9 (0В),3JB003,XT2,2,Да,Да,7-ШС3.1,XT3,38,Да,Да,
C-3JB003-3,FT-3F9 (+),3JB003,XT2,3,Да,Да,7-ШС3.1,XT3,39,Да,Да,
,FT-3F9 (-),3JB003,XT2,4,Да,Да,7-ШС3.1,XT3,40,Да,Да,
,LT-3L3 (+),3JB003,XT2,5,Да,Да,7-ШС3.1,XT3,17,Да,Да,
,LT-3L3 (-),3JB003,XT2,6,Да,Да,7-ШС3.1,XT3,18,Да,Да,
,ZS3zpe19-1,3JB003,XT2,7,Да,Да,7-ШС3.1,XT1,301,Да,Да,
,ZSO3zpe19,3JB003,XT2,8,Да,Да,7-ШС3.1,XT1,302,Да,Да,
,ZS3zpe19-2,3JB003,XT2,9,Да,Да,7-ШС3.1,XT1,301,Да,Да,
,ZSC3zpe19,3JB003,XT2,10,Да,Да,7-ШС3.1,XT1,303,Да,Да,
,Экран,3JB003,XT,экран,Да,Да,7-ШС3.1,XT2,18,Да,Да,
C-3JB004-1,HS3kshe8 (N),3JB004,XT1,1,Да,Да,7-ШС3.1,XT4,85,Да,Да,
,HSC3kshe8 (L),3JB004,XT1,2,Да,Да,7-ШС3.1,XT4,88,Да,Да,
,HSO3kshe8 (L),3JB004,XT1,3,Да,Да,7-ШС3.1,XT4,86,Да,Да,
,3kshe8-PE,3JB004,XT1,PE,Да,Да,7-ШС3.1,XT1,304,Да,Да,
C-3JB004-2,HS3kshe9 (N),3JB004,XT1,4,Да,Да,7-ШС3.1,XT4,89,Да,Да,
,HSC3kshe9 (L),3JB004,XT1,5,Да,Да,7-ШС3.1,XT4,92,Да,Да,
,HSO3kshe9 (L),3JB004,XT1,6,Да,Да,7-ШС3.1,XT4,90,Да,Да,
,3kshe9-PE,3JB004,XT1,PE,Да,Да,7-ШС3.1,XT1,296,Да,Да,
C-3JB004-3,LT-3L4 (+),3JB004,XT2,1,Да,Да,7-ШС3.1,XT3,21,Да,Да,
,LT-3L4 (-),3JB004,XT2,2,Да,Да,7-ШС3.1,XT3,22,Да,Да,
,ZS3kshe8-1,3JB004,XT2,3,Да,Да,7-ШС3.1,XT4,9,Да,Да,
,ZSO3kshe8,3JB004,XT2,4,Да,Да,7-ШС3.1,XT4,10,Да,Да,
,ZS3kshe8-2,3JB004,XT2,5,Да,Да,7-ШС3.1,XT4,9,Да,Да,
,ZSC3kshe8,3JB004,XT2,6,Да,Да,7-ШС3.1,XT4,12,Да,Да,
,ZS3kshe9-1,3JB004,XT2,7,Да,Да,7-ШС3.1,XT4,13,Да,Да,
,ZSO3kshe9,3JB004,XT2,8,Да,Да,7-ШС3.1,XT4,14,Да,Да,
,ZS3kshe9-2,3JB004,XT2,9,Да,Да,7-ШС3.1,XT4,13,Да,Да,
,ZSC3kshe9,3JB004,XT2,10,Да,Да,7-ШС3.1,XT4,16,Да,Да,
,SIC_НД8/1,3JB004,XT2,15,Да,Да,7-ШС3.1,XT2,43,Да,Да,
,SIC_НД8/1,3JB004,XT2,16,Да,Да,7-ШС3.1,XT2,44,Да,Да,
,Экран,3JB004,XT,экран,Да,Да,7-ШС3.1,XT2,45,Да,Да,
C-3JB004-4,HS_НД8/1,3JB004,XT2,11,Да,Да,7-ШС3.1,XT2,37,Да,Да,
,HS_НД8/1,3JB004,XT2,12,Да,Да,7-ШС3.1,XT2,38,Да,Да,
,XA_НД8/1,3JB004,XT2,13,Да,Да,7-ШС3.1,XT2,39,Да,Да,
,XA_НД8/1,3JB004,XT2,14,Да,Да,7-ШС3.1,XT2,40,Да,Да,
,Экран,3JB004,XT,экран,Да,Да,7-ШС3.1,XT2,42,Да,Да,
C-3JB005-1,HS3kshe1/1 (N),3JB005,XT1,1,Да,Да,7-ШС3.1,XT1,27,Да,Да,
,HSC3kshe1/1 (L),3JB005,XT1,2,Да,Да,7-ШС3.1,XT1,26,Да,Да,
,HSO3kshe1/1 (L),3JB005,XT1,3,Да,Да,7-ШС3.1,XT1,25,Да,Да,
,3kshe1/1-PE,3JB005,XT1,PE,Да,Да,7-ШС3.1,XT1,28,Да,Да,
C-3JB005-2,HS3kshe2/1 (N),3JB005,XT1,4,Да,Да,7-ШС3.1,XT1,35,Да,Да,
,HSC3kshe2/1 (L),3JB005,XT1,5,Да,Да,7-ШС3.1,XT1,34,Да,Да,
