Кабель,Проводник,Проектная позиция Откуда,Клеммный ряд Откуда,Клемма Откуда,Подключено,Проверено,Проектная позиция Куда,Клеммный ряд Куда,Клемма Куда,Подключено,Проверено,Комментарий
,LZT-2L32/2 (+),2.3JBZ002,XT2,6,Да,,7-ПАЗ.1,XT5,9,Нет,,
,LZT-2L32/2 (-),2.3JBZ002,XT2,7,Да,,7-ПАЗ.1,XT5,10,Нет,,
,LZT-2L21/1 (+),2.3JBZ002,XT2,8,Да,,7-ПАЗ.1,XT5,13,Нет,,
,LZT-2L21/1 (-),2.3JBZ002,XT2,9,Да,,7-ПАЗ.1,XT5,14,Нет,,
,LZT-2L21/2 (+),2.3JBZ002,XT2,10,Да,,7-ПАЗ.1,XT5,17,Нет,,
,LZT-2L21/2 (-),2.3JBZ002,XT2,11,Да,,7-ПАЗ.1,XT5,18,Нет,,
C-2.2JBZ001-1,LZT-2L20/1 (+),2.2JBZ001,XT1,1,Да,,7-ПАЗ.1,XT5,21,Нет,,
,LZT-2L20/1 (-),2.2JBZ001,XT1,2,Да,,7-ПАЗ.1,XT5,22,Нет,,
,LZT-2L20/2 (+),2.2JBZ001,XT1,3,Да,,7-ПАЗ.1,XT5,25,Нет,,
,LZT-2L20/2 (-),2.2JBZ001,XT1,4,Да,,7-ПАЗ.1,XT5,26,Нет,,
C-2.2JBZ002-1,LZT-2L25/1 (+),2.2JBZ002,XT1,1,Да,,7-ПАЗ.1,XT5,29,Нет,,
,LZT-2L25/1 (-),2.2JBZ002,XT1,2,Да,,7-ПАЗ.1,XT5,30,Нет,,
,LZT-2L25/2 (+),2.2JBZ002,XT1,3,Да,,7-ПАЗ.1,XT6,1,Нет,,
,LZT-2L25/2 (-),2.2JBZ002,XT1,4,Да,,7-ПАЗ.1,XT6,2,Нет,,
C-2.4JBZ001-1,PZT-2P23/1 (+),2.4JBZ001,XT1,1,Да,,7-ПАЗ.1,XT6,5,Нет,,
,PZT-2P23/1 (-),2.4JBZ001,XT1,2,Да,,7-ПАЗ.1,XT6,6,Нет,,
,PZT-2P23/2 (+),2.4JBZ001,XT1,3,Да,,7-ПАЗ.1,XT6,9,Нет,,
,PZT-2P23/2 (-),2.4JBZ001,XT1,4,Да,,7-ПАЗ.1,XT6,10,Нет,,
,LZT-2L23/1 (+),2.4JBZ001,XT1,5,Да,,7-ПАЗ.1,XT6,13,Нет,,
,LZT-2L23/1 (-),2.4JBZ001,XT1,6,Да,,7-ПАЗ.1,XT6,14,Нет,,
,LZT-2L23/2 (+),2.4JBZ001,XT1,7,Да,,7-ПАЗ.1,XT6,17,Нет,,
,LZT-2L23/2 (-),2.4JBZ001,XT1,8,Да,,7-ПАЗ.1,XT6,18,Нет,,
C-2.4JBZ002-1,PZT-2P20/1 (+),2.4JBZ002,XT1,1,Да,,7-ПАЗ.1,XT6,21,Нет,,
,PZT-2P20/1 (-),2.4JBZ002,XT1,2,Да,,7-ПАЗ.1,XT6,22,Нет,,
,PZT-2P20/2 (+),2.4JBZ002,XT1,3,Да,,7-ПАЗ.1,XT6,25,Нет,,
,PZT-2P20/2 (-),2.4JBZ002,XT1,4,Да,,7-ПАЗ.1,XT6,26,Нет,,
C-ЩУФ1-2,HZS_Ho1 (+),ЩУ-Ф1,X3 (ЩУ-Ф1),3,Нет,,7-ПАЗ.1,XT13,99,Нет кабеля,,Замечание 681
,HZS_Ho1 (-),ЩУ-Ф1,X3 (ЩУ-Ф1),4,Нет,,7-ПАЗ.1,XT13,100,Нет кабеля,,
,HZS_Hдг1/1 (-),ЩУ-Ф1,X3 (ЩУ-Ф1),3,Нет,,7-ПАЗ.1,XT13,101,Нет кабеля,,
,HZS_Hдг1/1 (-),ЩУ-Ф1,X3 (ЩУ-Ф1),4,Нет,,7-ПАЗ.1,XT13,102,Нет кабеля,,
C-ШС2.2-1,HZS_H0/1 (+),7-ШС2.2,7X3,3,Нет,,7-ПАЗ.1,XT13,89,Нет,,
,HZS_H0/1 (-),7-ШС2.2,7X3,4,Нет,,7-ПАЗ.1,XT13,90,Нет,,
,HZS_H0/2 (+),7-ШС2.2,8X3,3,Нет,,7-ПАЗ.1,XT13,91,Нет,,
,HZS_H0/2 (-),7-ШС2.2,8X3,4,Нет,,7-ПАЗ.1,XT13,92,Нет,,
,HZS_HД2/1 (+),7-ШС2.2,17X3,3,Нет,,7-ПАЗ.1,XT13,93,Нет,,
,HZS_HД2/1 (-),7-ШС2.2,17X3,4,Нет,,7-ПАЗ.1,XT13,94,Нет,,
,HZS_Hот1 (+),7-ШС2.2,9X3,3,Нет,,7-ПАЗ.1,XT13,95,Нет,,
,HZS_Hот1 (-),7-ШС2.2,9X3,4,Нет,,7-ПАЗ.1,XT13,96,Нет,,
C-AX1_1-3,HZS_Hсо1 (+),AX1 (первый модуль),X4,18,Нет кабеля,,7-ПАЗ.1,XT14,1,Нет кабеля,,
,HZS_Hсо1 (-),AX1 (первый модуль),X4,19,Нет кабеля,,7-ПАЗ.1,XT14,2,Нет кабеля,,
,HZL (+),AX1 (первый модуль),X5,3,Нет кабеля,,7-ПАЗ.1,XT14,5,Нет кабеля,,
,HZL (-),AX1 (первый модуль),X5,29,Нет кабеля,,7-ПАЗ.1,XT14,6,Нет кабеля,,
,XZD (+),AX1 (первый модуль),X6,1,Нет кабеля,,7-ПАЗ.1,XT14,3,Нет кабеля,,
,XZD (-),AX1 (первый модуль),X6,3,Нет кабеля,,7-ПАЗ.1,XT14,4,Нет кабеля,,
C-3JBZ001-1,LZT-3L6/1 (+),3JBZ001,XT1,1,Да,,7-ПАЗ.1,XT7,1,Нет,,
,LZT-3L6/1 (-),3JBZ001,XT1,2,Да,,7-ПАЗ.1,XT7,2,Нет,,
,LZT-3L6/2 (+),3JBZ001,XT1,3,Да,,7-ПАЗ.1,XT7,5,Нет,,
,LZT-3L6/2 (-),3JBZ001,XT1,4,Да,,7-ПАЗ.1,XT7,6,Нет,,
,Экран,3JBZ001,XT,экран,Да,,7-ПАЗ.1,XT7,7,Нет,,
C-3JBZ002-1,HS3zpe15  (N),3JBZ002,XT1,1,Да,,7-ПАЗ.1,XT13,11,Нет,,
,HSC3zpe15 (L),3JBZ002,XT1,2,Да,,7-ПАЗ.1,XT13,10,Нет,,
,HSO3zpe15 (L),3JBZ002,XT1,3,Да,,7-ПАЗ.1,XT13,9,Нет,,
,3zpe15-PE,3JBZ002,XT1,PE,Да,,7-ПАЗ.1,XT13,12,Нет,,
C-3JBZ002-2,PZS-3P11/1 (+),3JBZ002,XT2,3,Да,,7-ПАЗ.1,XT16,1,Нет,,
,PZS-3P11/1 (-),3JBZ002,XT2,4,Да,,7-ПАЗ.1,XT16,2,Нет,," "
,PZS-3P11/2 (+),3JBZ002,XT2,7,Да,,7-ПАЗ.1,XT16,3,Нет,,
,PZS-3P11/2 (-),3JBZ002,XT2,8,Да,,7-ПАЗ.1,XT16,4,Нет,," "
,LZT-3L7/1 (+),3JBZ002,XT2,9,Да,,7-ПАЗ.1,XT7,21,Нет,," "
,LZT-3L7/1 (-),3JBZ002,XT2,10,Да,,7-ПАЗ.1,XT7,22,Нет,,
,LZT-3L7/2 (+),3JBZ002,XT2,11,Да,,7-ПАЗ.1,XT7,25,Нет,," "
,LZT-3L7/2 (-),3JBZ002,XT2,12,Да,,7-ПАЗ.1,XT7,26,Нет,,
,ZS3zpe15-1,3JBZ002,XT2,13,Да,,7-ПАЗ.1,XT13,13,Нет,," "
,ZSO3zpe15,3JBZ002,XT2,14,Да,,7-ПАЗ.1,XT13,14,Нет,,
,ZS3zpe15-2,3JBZ002,XT2,15,Да,,7-ПАЗ.1,XT13,13,Нет,,
,ZSC3zpe15,3JBZ002,XT2,16,Да,,7-ПАЗ.1,XT13,15,Нет,,
,Экран,3JBZ002,XT,экран,Да,,7-ПАЗ.1,XT15,6,Нет,,
C-3JBZ002-3,PZS-3P11/1 (24В),3JBZ002,XT2,1,Да,,7-ПАЗ.1,XT7,11,Нет,,
,PZS-3P11/1 (0В),3JBZ002,XT2,2,Да,,7-ПАЗ.1,XT7,12,Нет,,
,PZS-3P11/2 (24В),3JBZ002,XT2,5,Да,,7-ПАЗ.1,XT7,17,Нет,,
,PZS-3P11/2 (0В),3JBZ002,XT2,6,Да,,7-ПАЗ.1,XT7,18,Нет,,
C-3JBZ003-1,HS3zpe16 (N),3JBZ003,XT1,1,Да,,7-ПАЗ.1,XT13,19,Нет,,
,HSC3zpe16 (L),3JBZ003,XT1,2,Да,,7-ПАЗ.1,XT13,18,Нет,,
,HSO3zpe16 (L),3JBZ003,XT1,3,Да,,7-ПАЗ.1,XT13,17,Нет,,
,3zpe16-PE,3JBZ003,XT1,PE,Да,,7-ПАЗ.1,XT13,20,Нет,,
C-3JBZ003-3,PZS-3P12/1 (+),3JBZ003,XT2,3,Да,,7-ПАЗ.1,XT16,5,Нет,,
,PZS-3P12/1 (-),3JBZ003,XT2,4,Да,,7-ПАЗ.1,XT16,6,Нет,,
,PZS-3P12/2 (+),3JBZ003,XT2,7,Да,,7-ПАЗ.1,XT16,7,Нет,,
,PZS-3P12/2 (-),3JBZ003,XT2,8,Да,,7-ПАЗ.1,XT16,8,Нет,,
,LZT-3L8/1 (+),3JBZ003,XT2,9,Да,,7-ПАЗ.1,XT8,1,Нет,,
,LZT-3L8/1 (-),3JBZ003,XT2,10,Да,,7-ПАЗ.1,XT8,2,Нет,,
,LZT-3L8/2 (+),3JBZ003,XT2,11,Да,,7-ПАЗ.1,XT8,5,Нет,,
,LZT-3L8/2 (-),3JBZ003,XT2,12,Да,,7-ПАЗ.1,XT8,6,Нет,,
,ZS3zpe16-1,3JBZ003,XT2,13,Да,,7-ПАЗ.1,XT13,21,Нет,,
,ZSO3zpe16,3JBZ003,XT2,14,Да,,7-ПАЗ.1,XT13,22,Нет,,
,ZS3zpe16-2,3JBZ003,XT2,15,Да,,7-ПАЗ.1,XT13,21,Нет,,
,ZSC3zpe16,3JBZ003,XT2,16,Да,,7-ПАЗ.1,XT13,23,Нет,,
,Экран,3JBZ003,XT,экран,Да,,7-ПАЗ.1,XT15,12,Нет,,
C-3JBZ003-2,PZS-3P12/1 (24В),3JBZ003,XT2,1,Да,,7-ПАЗ.1,XT7,31,Нет,,
,PZS-3P12/1 (0В),3JBZ003,XT2,2,Да,,7-ПАЗ.1,XT7,32,Нет,,
,PZS-3P12/2 (24В),3JBZ003,XT2,5,Да,,7-ПАЗ.1,XT7,37,Нет,,
,PZS-3P12/2 (0В),3JBZ003,XT2,6,Да,,7-ПАЗ.1,XT7,38,Нет,,
C-3JBZ004-1,HS3kshe12 (N),3JBZ004,XT1,1,Да,,7-ПАЗ.1,XT13,27,Нет,,
,HSC3kshe12 (L),3JBZ004,XT1,2,Да,,7-ПАЗ.1,XT13,26,Нет,,
,HSO3kshe12 (L),3JBZ004,XT1,3,Да,,7-ПАЗ.1,XT13,25,Нет,,
,3kshe12-PE,3JBZ004,XT1,PE,Да,,7-ПАЗ.1,XT13,28,Нет,,
C-3JBZ004-2,HS3kshe13 (N),3JBZ004,XT1,4,Да,,7-ПАЗ.1,XT13,35,Нет,,
,HSC3kshe13 (L),3JBZ004,XT1,5,Да,,7-ПАЗ.1,XT13,34,Нет,,
,HSO3kshe13 (L),3JBZ004,XT1,6,Да,,7-ПАЗ.1,XT13,33,Нет,,
,3kshe13-PE,3JBZ004,XT1,PE,Да,,7-ПАЗ.1,XT13,36,Нет,,
C-3JBZ004-3,PZS-3P18/1 (24В),3JBZ004,XT2,1,Да,,7-ПАЗ.1,XT8,11,Нет,,
,PZS-3P18/1 (0В),3JBZ004,XT2,2,Да,,7-ПАЗ.1,XT8,12,Нет,,
,PZS-3P18/2 (24В),3JBZ004,XT2,5,Да,,7-ПАЗ.1,XT8,17,Нет,,
,PZS-3P18/2 (0В),3JBZ004,XT2,6,Да,,7-ПАЗ.1,XT8,18,Нет,,
C-3JBZ004-4,PZS-3P18/1 (+),3JBZ004,XT2,3,Да,,7-ПАЗ.1,XT16,9,Нет,,
,PZS-3P18/1 (-),3JBZ004,XT2,4,Да,,7-ПАЗ.1,XT16,10,Нет,,
,PZS-3P18/2 (+),3JBZ004,XT2,7,Да,,7-ПАЗ.1,XT16,11,Нет,,
,PZS-3P18/2 (-),3JBZ004,XT2,8,Да,,7-ПАЗ.1,XT16,12,Нет,,
,LZT-3L9/1 (+),3JBZ004,XT2,9,Да,,7-ПАЗ.1,XT8,21,Нет,,
,LZT-3L9/1 (-),3JBZ004,XT2,10,Да,,7-ПАЗ.1,XT8,22,Нет,,
,LZT-3L9/2 (+),3JBZ004,XT2,11,Да,,7-ПАЗ.1,XT8,25,Нет,,
,LZT-3L9/2 (-),3JBZ004,XT2,12,Да,,7-ПАЗ.1,XT8,26,Нет,,
,ZS3kshe12-1,3JBZ004,XT2,13,Да,,7-ПАЗ.1,XT13,29,Нет,,
,ZSO3kshe12,3JBZ004,XT2,14,Да,,7-ПАЗ.1,XT13,30,Нет,,
,ZS3kshe12-2,3JBZ004,XT2,15,Да,,7-ПАЗ.1,XT13,29,Нет,,
,ZSC3kshe12,3JBZ004,XT2,16,Да,,7-ПАЗ.1,XT13,31,Нет,,
,ZS3kshe13-1,3JBZ004,XT2,17,Да,,7-ПАЗ.1,XT13,37,Нет,,
,ZSO3kshe13,3JBZ004,XT2,18,Да,,7-ПАЗ.1,XT13,38,Нет,,
,ZS3kshe13-2,3JBZ004,XT2,19,Да,,7-ПАЗ.1,XT13,37,Нет,,
,ZSC3kshe13,3JBZ004,XT2,20,Да,,7-ПАЗ.1,XT13,39,Нет,,
,Экран,3JBZ004,XT,экран,Да,,7-ПАЗ.1,XT13,36,Нет,,
C-ШС3.2-1,HZS_H5/1 (+),7-ШС3.2,27X3,3,Нет,,7-ПАЗ.1,XT13,105,Нет,,
,HZS_H5/1 (-),7-ШС3.2,27X3,4,Нет,,7-ПАЗ.1,XT13,106,Нет,,
,HZS_H6/1 (+),7-ШС3.2,28X3,3,Нет,,7-ПАЗ.1,XT13,107,Нет,,
,HZS_H6/1 (-),7-ШС3.2,28X3,4,Нет,,7-ПАЗ.1,XT13,108,Нет,,
,HZS_H7/1 (+),7-ШС3.2,29X3,3,Нет,,7-ПАЗ.1,XT13,109,Нет,,
,HZS_H7/1 (-),7-ШС3.2,29X3,4,Нет,,7-ПАЗ.1,XT13,110,Нет,,
,HZS_HД8/1 (+),7-ШС3.2,30X3,3,Нет,,7-ПАЗ.1,XT13,111,Нет,,
,HZS_HД8/1 (-),7-ШС3.2,30X3,4,Нет,,7-ПАЗ.1,XT13,112,Нет,,
C-4JBZ001-1,ZSO4zpe5,4JBZ001,XT4,5,Да,,7-ПАЗ.1,XT13,46,Нет,,
,ZSO4zpe5(com),4JBZ001,XT4,6,Да,,7-ПАЗ.1,XT13,45,Нет,,
,ZSC4zpe5,4JBZ001,XT4,7,Да,,7-ПАЗ.1,XT13,47,Нет,,
,ZSC4zpe5(com),4JBZ001,XT4,8,Да,,7-ПАЗ.1,XT13,45,Нет,,
,ZSC4kshe2,4JBZ001,XT7,5,Да,,7-ПАЗ.1,XT13,55,Нет,,
,ZSC4kshe2(com),4JBZ001,XT7,6,Да,,7-ПАЗ.1,XT13,53,Нет,,
,ZSO4kshe2,4JBZ001,XT7,7,Да,,7-ПАЗ.1,XT13,54,Нет,,
,ZSO4kshe2(com),4JBZ001,XT7,8,Да,,7-ПАЗ.1,XT13,53,Нет,,
,ZSC4kshe21,4JBZ001,XT1,5,Да,,7-ПАЗ.1,XT13,63,Нет,,
,ZSC4kshe21(com),4JBZ001,XT1,6,Да,,7-ПАЗ.1,XT13,61,Нет,,
,ZSO4kshe21,4JBZ001,XT1,7,Да,,7-ПАЗ.1,XT13,62,Нет,,
,ZSO4kshe21(com),4JBZ001,XT1,8,Да,,7-ПАЗ.1,XT13,61,Нет,,
C-4JBZ001-2,PZT-4P15/1 (+),4JBZ001,XT2,1,Да,,7-ПАЗ.1,XT8,29,Нет,,
,PZT-4P15/1 (-),4JBZ001,XT2,2,Да,,7-ПАЗ.1,XT8,30,Нет,,
,PZT-4P15/2 (+),4JBZ001,XT3,1,Да,,7-ПАЗ.1,XT8,33,Нет,,
,PZT-4P15/2 (-),4JBZ001,XT3,2,Да,,7-ПАЗ.1,XT8,34,Нет,,
,PZT-4P16/1 (+),4JBZ001,XT4,1,Да,,7-ПАЗ.1,XT9,1,Нет,,
,PZT-4P16/1 (-),4JBZ001,XT4,2,Да,,7-ПАЗ.1,XT9,2,Нет,,
,PZT-4P16/2 (+),4JBZ001,XT5,1,Да,,7-ПАЗ.1,XT9,5,Нет,,
,PZT-4P16/2 (-),4JBZ001,XT5,2,Да,,7-ПАЗ.1,XT9,6,Нет,,
,QZT-4Q3/1 (+),4JBZ001,XT6,4,Да,,7-ПАЗ.1,XT9,9,Нет,,
,QZT-4Q3/1 (-),4JBZ001,XT6,5,Да,,7-ПАЗ.1,XT9,10,Нет,,
,QZT-4Q3/2 (+),4JBZ001,XT7,4,Да,,7-ПАЗ.1,XT9,15,Нет,,
,QZT-4Q3/2 (-),4JBZ001,XT7,5,Да,,7-ПАЗ.1,XT9,16,Нет,,
C-4JBZ001-3,QZT-4Q3/1 (24В),4JBZ001,XT6,1,Да,,7-ПАЗ.1,XT9,11,Нет,,
,QZT-4Q3/1 (0В),4JBZ001,XT6,2,Да,,7-ПАЗ.1,XT9,12,Нет,,
,QZT-4Q3/1 (PE),4JBZ001,XT6,3,Да,,7-ПАЗ.1,XT9,13,Нет,,
,QZT-4Q3/2 (24В),4JBZ001,XT7,1,Да,,7-ПАЗ.1,XT9,17,Нет,,
,QZT-4Q3/2 (0В),4JBZ001,XT7,2,Да,,7-ПАЗ.1,XT9,18,Нет,,
,QZT-4Q3/2 (PE),4JBZ001,XT7,3,Да,,7-ПАЗ.1,XT9,19,Нет,,
C-4JBZ001-4,4zpe5 (L),4JBZ001,XT4,1,Да,,7-ПАЗ.1,XT13,43,Нет,,
,HSO4zpe5 (N),4JBZ001,XT4,2,Да,,7-ПАЗ.1,XT13,41,Нет,,
,HSC4zpe5 (N),4JBZ001,XT4,3,Да,,7-ПАЗ.1,XT13,42,Нет,,
,4zpe5 (G),4JBZ001,XT4,4,Да,,7-ПАЗ.1,XT13,44,Нет,,
C-4JBZ001-5,4kshe2 (N),4JBZ001,XT7,1,Да,,7-ПАЗ.1,XT13,51,Нет,,
,HSO4kshe2 (L),4JBZ001,XT7,2,Да,,7-ПАЗ.1,XT13,49,Нет,,
,HSC4kshe2 (L),4JBZ001,XT7,3,Да,,7-ПАЗ.1,XT13,50,Нет,,
C-4JBZ001-6,4kshe21 (N),4JBZ001,XT1,1,Да,,7-ПАЗ.1,XT13,59,Нет,,
,HSO4kshe21 (L),4JBZ001,XT1,2,Да,,7-ПАЗ.1,XT13,57,Нет,,
,HSC4kshe21 (L),4JBZ001,XT1,3,Да,,7-ПАЗ.1,XT13,58,Нет,,
C-ШС4.2-1,HZS_H31/1 (+),7-ШС4.2,35X3,3,Нет,,7-ПАЗ.1,XT13,115,Нет,,
,HZS_H31/1 (-),7-ШС4.2,35X3,4,Нет,,7-ПАЗ.1,XT13,116,Нет,,
,HZS_H32/1 (+),7-ШС4.2,36X3,3,Нет,,7-ПАЗ.1,XT13,117,Нет,,
,HZS_H32/1 (-),7-ШС4.2,36X3,4,Нет,,7-ПАЗ.1,XT13,118,Нет,,
C-ШС5.2-1,HZS_H10/1 (+),7-ШС5.2,X3,3,Нет,,7-ПАЗ.1,XT13,119,Нет,,Замечание 609
,HZS_H10/1 (-),7-ШС5.2,X3,4,Нет,,7-ПАЗ.1,XT13,120,Нет,,Замечание 609
C-6JBZ001-1,ZSO6kshe5,6JBZ001,XT1,5,Да,,7-ПАЗ.1,XT13,70,Нет,,
,ZSO6kshe5(com),6JBZ001,XT1,6,Да,,7-ПАЗ.1,XT13,69,Нет,,
,ZSC6kshe5,6JBZ001,XT1,7,Да,,7-ПАЗ.1,XT13,71,Нет,,
,ZSC6kshe5(com),6JBZ001,XT1,8,Да,,7-ПАЗ.1,XT13,69,Нет,,
,6kshe2(com),6JBZ001,XT2,4,Да,,7-ПАЗ.1,XT13,77,Нет,,
,ZSO6kshe2,6JBZ001,XT2,5,Да,,7-ПАЗ.1,XT13,78,Нет,,
,ZSC6kshe2,6JBZ001,XT2,6,Да,,7-ПАЗ.1,XT13,79,Нет,,
,6kshe100(com),6JBZ001,XT3,4,Да,,7-ПАЗ.1,XT13,85,Нет,,
,ZSO6kshe100,6JBZ001,XT3,5,Да,,7-ПАЗ.1,XT13,86,Нет,,
,ZSC6kshe100,6JBZ001,XT3,6,Да,,7-ПАЗ.1,XT13,87,Нет,,
,PZT-6P20/1 (+),6JBZ001,XT4,1,Да,,7-ПАЗ.1,XT9,21,Нет,,
,PZT-6P20/1 (-),6JBZ001,XT4,2,Да,,7-ПАЗ.1,XT9,22,Нет,,
,PZT-6P20/2 (+),6JBZ001,XT5,1,Да,,7-ПАЗ.1,XT9,25,Нет,,
,PZT-6P20/2 (-),6JBZ001,XT5,2,Да,,7-ПАЗ.1,XT9,26,Нет,,
,PZT-6P21/1 (+),6JBZ001,XT6,1,Да,,7-ПАЗ.1,XT9,29,Нет,,
,PZT-6P21/1 (-),6JBZ001,XT6,2,Да,,7-ПАЗ.1,XT9,30,Нет,,
,PZT-6P21/2 (+),6JBZ001,XT7,1,Да,,7-ПАЗ.1,XT9,33,Нет,,
,PZT-6P21/2 (-),6JBZ001,XT7,2,Да,,7-ПАЗ.1,XT9,34,Нет,,
,QZT-6Q21/1 (+),6JBZ001,XT8,4,Да,,7-ПАЗ.1,XT10,1,Нет,,
,QZT-6Q21/1 (-),6JBZ001,XT8,5,Да,,7-ПАЗ.1,XT10,2,Нет,,
,QZT-6Q21/2 (+),6JBZ001,XT9,4,Да,,7-ПАЗ.1,XT10,7,Нет,,
,QZT-6Q21/2 (-),6JBZ001,XT9,5,Да,,7-ПАЗ.1,XT10,8,Нет,,
C-6JBZ001-2,QZT-6Q21/1 (24В),6JBZ001,XT8,1,Да,,7-ПАЗ.1,XT10,3,Нет,,
,QZT-6Q21/1 (0В),6JBZ001,XT8,2,Да,,7-ПАЗ.1,XT10,4,Нет,,
,QZT-6Q21/1 (PE),6JBZ001,XT8,3,Да,,7-ПАЗ.1,XT10,5,Нет,,
,QZT-6Q21/2 (24В),6JBZ001,XT9,1,Да,,7-ПАЗ.1,XT10,9,Нет,,
,QZT-6Q21/2 (0В),6JBZ001,XT9,2,Да,,7-ПАЗ.1,XT10,10,Нет,,
,QZT-6Q21/2 (PE),6JBZ001,XT9,3,Да,,7-ПАЗ.1,XT10,11,Нет,,
C-6JBZ001-3,6kshe5 (L),6JBZ001,XT1,1,Да,,7-ПАЗ.1,XT13,67,Нет,,
,HSO6kshe5 (N),6JBZ001,XT1,2,Да,,7-ПАЗ.1,XT13,65,Нет,,
,HSC6kshe5 (N),6JBZ001,XT1,3,Да,,7-ПАЗ.1,XT13,66,Нет,,
,6kshe5 (G),6JBZ001,XT1,4,Да,,7-ПАЗ.1,XT13,68,Нет,,
C-6JBZ001-4,6kshe2 (N),6JBZ001,XT2,1,Да,,7-ПАЗ.1,XT13,75,Нет,,Замечание 682
,HSO6kshe2 (L),6JBZ001,XT2,2,Да,,7-ПАЗ.1,XT13,73,Нет,,Замечание 682
,HSC6kshe2 (L),6JBZ001,XT2,3,Да,,7-ПАЗ.1,XT13,74,Нет,,Замечание 682
C-6JBZ001-5,6kshe100(N),6JBZ001,XT3,1,Да,,7-ПАЗ.1,XT13,83,Нет,,Замечание 682
,HSO6kshe100(L),6JBZ001,XT3,2,Да,,7-ПАЗ.1,XT13,81,Нет,,Замечание 682
,HSC6kshe100(L),6JBZ001,XT3,3,Да,,7-ПАЗ.1,XT13,82,Нет,,Замечание 682
C-6JBZ002-1,QZT-6Q20/1 (+),6JBZ002,XT1,4,Да,,7-ПАЗ.1,XT10,13,Нет,,
,QZT-6Q20/1 (-),6JBZ002,XT1,5,Да,,7-ПАЗ.1,XT10,14,Нет,,
,QZT-6Q20/2 (+),6JBZ002,XT2,4,Да,,7-ПАЗ.1,XT10,19,Нет,,
,QZT-6Q20/2 (-),6JBZ002,XT2,5,Да,,7-ПАЗ.1,XT10,20,Нет,,
,PZS-6P23/1 (NO),6JBZ002,XT3,4,Да,,7-ПАЗ.1,XT10,47,Нет,,
,PZS-6P23/1 (COM),6JBZ002,XT3,5,Да,,7-ПАЗ.1,XT10,45,Нет,,
,PZS-6P23/2 (NO),6JBZ002,XT4,4,Да,,7-ПАЗ.1,XT10,48,Нет,,
,PZS-6P23/2 (COM),6JBZ002,XT4,5,Да,,7-ПАЗ.1,XT10,46,Нет,,
,LZT-6L20/1 (+),6JBZ002,XT5,1,Да,,7-ПАЗ.1,XT10,25,Нет,,
,LZT-6L20/1 (-),6JBZ002,XT5,2,Да,,7-ПАЗ.1,XT10,26,Нет,,
,LZT-6L20/1 (G),6JBZ002,XT5,3,Да,,7-ПАЗ.1,XT10,27,Нет,,
,LZT-6L20/2 (+),6JBZ002,XT6,1,Да,,7-ПАЗ.1,XT10,29,Нет,,
,LZT-6L20/2 (-),6JBZ002,XT6,2,Да,,7-ПАЗ.1,XT10,30,Нет,,
,LZT-6L20/2 (G),6JBZ002,XT6,3,Да,,7-ПАЗ.1,XT10,31,Нет,,
C-6JBZ002-2,QZT-6Q20/1 (24В),6JBZ002,XT1,1,Да,,7-ПАЗ.1,XT10,15,Нет,,
,QZT-6Q20/1 (0В),6JBZ002,XT1,2,Да,,7-ПАЗ.1,XT10,16,Нет,,
,QZT-6Q20/1 (PE),6JBZ002,XT1,3,Да,,7-ПАЗ.1,XT10,17,Нет,,
,QZT-6Q20/2 (24В),6JBZ002,XT2,1,Да,,7-ПАЗ.1,XT10,21,Нет,,
,QZT-6Q20/2 (0В),6JBZ002,XT2,2,Да,,7-ПАЗ.1,XT10,22,Нет,,
,QZT-6Q20/2 (PE),6JBZ002,XT2,3,Да,,7-ПАЗ.1,XT10,23,Нет,,
,PZS-6P23/1 (24В),6JBZ002,XT3,1,Да,,7-ПАЗ.1,XT10,41,Нет,,
,PZS-6P23/1 (0В),6JBZ002,XT3,2,Да,,7-ПАЗ.1,XT10,42,Нет,,
,PZS-6P23/2 (24В),6JBZ002,XT4,1,Да,,7-ПАЗ.1,XT10,43,Нет,,
,PZS-6P23/2 (0В),6JBZ002,XT4,2,Да,,7-ПАЗ.1,XT10,44,Нет,,
C-ШС6.2-1,HZS_H11/1 (+),7-ШС6.2,46X3,3,Нет,,7-ПАЗ.1,XT13,123,Нет,,
,HZS_H11/1 (-),7-ШС6.2,46X3,4,Нет,,7-ПАЗ.1,XT13,124,Нет,,
,HZS_H11/2 (+),7-ШС6.2,48X3,3,Нет,,7-ПАЗ.1,XT13,125,Нет,,
,HZS_H11/2 (-),7-ШС6.2,48X3,4,Нет,,7-ПАЗ.1,XT13,126,Нет,,
C-AX1_1-1,АХ-1_1 (A),AX1 (первый модуль),Com,A,Да,Да,7-ШС24.1,XT8,1,Да,Да,
,АХ-1_1 (B),AX1 (первый модуль),Com,B,Да,Да,7-ШС24.1,XT8,2,Да,Да,
C-ШС3.1-3,HS_Н5/1 (+),7-ШС3.2,27X3,1,Да,Да,7-ШС3.1,XT2,1,Да,Да,
,HS_Н5/1 (-),7-ШС3.2,27X3,2,Да,Да,7-ШС3.1,XT2,2,Да,Да,
,XL_Н5/1 (+),7-ШС3.2,27X3,5,Да,Да,7-ШС3.1,XT2,3,Да,Да,
,XL_Н5/1 (-),7-ШС3.2,27X3,6,Да,Да,7-ШС3.1,XT2,4,Да,Да,
,XA_Н5/1 (+),7-ШС3.2,27X3,7,Да,Да,7-ШС3.1,XT2,3,Да,Да,
