AI(PAZ),AI,DI,DI (PAZ),VALVE,,PUMP,Нет сигнала,,,Исправить,,Диагностика. Нет сигналов
Objects.AI.QZT_18Q4,Objects.AI.LT_3L2,Objects.DI.bat_7SHS5_1_low,Objects.DI.LZS_23L25_double,Objects.VALVE.V_2zpe120,ШС19.1,Objects.PUMP.ND3_1_pump,3кшэ8,Objects.VALVE.V_3kshe8,,,,
Objects.AI.QZT_3Q2_double,Objects.AI.LT_3L3,Objects.DI.bat_7SHS5_1_status,Objects.DI.LZS_23L26_double,Objects.VALVE.V_2zpe126,Objects.VALVE.V_19kshe100,Objects.PUMP.ND3_2_pump,3кшэ9,Objects.VALVE.V_3kshe9,Узел флатации,,,
Objects.AI.QZT_14Q2_double,Objects.AI.LT_3L4,Objects.DI.bat_7SHS15_1_low,Objects.DI.PZS_24P20_double,Objects.VALVE.V_2zpe38,Objects.VALVE.V_19kshe102,Objects.PUMP.ND3_3_pump,3кшэ12,Objects.VALVE.V_3kshe12,,Н51/1,,
Objects.AI.TZT_2T20_double,Objects.AI.FT_3F7,Objects.DI.bat_7SHS15_1_status,Objects.DI.PZS_24P21_double,Objects.VALVE.V_2zpe18,Objects.VALVE.V_19kshe103,Objects.PUMP.N5_1_pump,3кшэ13,Objects.VALVE.V_3kshe13,,Н51/2,,
Objects.AI.TZT_13T20_double,Objects.AI.FT_3F8,Objects.DI.bat_7SHS4_1_status,Objects.DI.PZS_24P22_double,Objects.VALVE.V_2zpe19,Objects.VALVE.V_19kshe105,Objects.PUMP.N6_1_pump,7-ШС4.1,,ШУ-Ф1,FT-2F1,,
Objects.AI.LZS_2L33_double,Objects.AI.FT_3F9,Objects.DI.bat_7SHS4_1_low,Objects.DI.PZS_24P23_double,Objects.VALVE.V_2zpe20,Objects.VALVE.V_19kshe106,Objects.PUMP.N7_1_pump,4кшэ2,Objects.VALVE.V_4kshe2,ШУ-Ф1,2зпэ22,DI/DO,
Objects.AI.LZS_2L34_double,Objects.AI.QT_3Q1_pH,Objects.DI.but_7SHS4_1_failure_stop,Objects.DI.PZS_24P24_double,Objects.VALVE.V_2zpe21,Objects.VALVE.V_19kshe108,Objects.PUMP.V3_1_motor,4зпэ5,Objects.VALVE.V_4zpe5,ШУ-Ф1,2зпэ36,DI/DO,
Objects.AI.QZT_2Q21_A_double,Objects.AI.FT_5F1,Objects.DI.bat_7SHS6_1_low,Objects.DI.PZS_24P26_double,Objects.VALVE.V_2zpe136,ШС20.1,Objects.PUMP.ND8_1_pump,4кшэ21,Objects.VALVE.V_4kshe21,ШУ-Ф1,2эк1,Питание,
Objects.AI.QZT_2Q21_B_double,Objects.AI.FT_5F2,Objects.DI.bat_7SHS6_1_status,Objects.DI.PZS_24P27_double,Objects.VALVE.V_2zpe138,Objects.VALVE.V_20kshe2,Objects.PUMP.N10_1_pump,Мешалка Ем1/1,,ШУ-Ф1,TE-2T9,,
Objects.AI.LZS_2L32_double,Objects.AI.LT_5L1,Objects.DI.bat_7SHS7_1_low,Objects.DI.PZS_24P28_double,Objects.VALVE.V_2zpe137,Objects.VALVE.V_20kshe21,Objects.PUMP.NM2_1_pump,7-ШС5.1,,ШУ-Ф1,LS-2L5,DI,
