id,Секция,Кабель,Проводник,Клеммник
282,,,5кшэ17-К-V,ХТ9:226
283,,,5кшэ17-К-W,ХТ9:227
284,,5кшэ17-К,5кшэ17-К-10,ХТ9:228
285,,,5кшэ17-К-14,ХТ9:229
286,,,5кшэ17-К-17,ХТ9:233
287,,,5кшэ17-К-18,ХТ9:234
288,,,5кшэ17-К-11,ХТ9:235
289,,,5кшэ17-К-15,ХТ9:236
290,,,5кшэ17-К-12,ХТ9:237
291,,,5кшэ17-К-16,ХТ9:238
292,3,5кшэ18-Р1,5кшэ18-К-U,ХТ10:1
293,,,5кшэ18-К-V,ХТ10:2
294,,,5кшэ18-К-W,ХТ10:3
295,,5кшэ18-К,5кшэ18-К-10,ХТ10:4
296,,,5кшэ18-К-14,ХТ10:5
297,,,5кшэ18-К-17,ХТ10:9
298,,,5кшэ18-К-18,ХТ10:10
299,,,5кшэ18-К-11,ХТ10:11
300,,,5кшэ18-К-15,ХТ10:12
301,,,5кшэ18-К-12,ХТ10:13
302,,,5кшэ18-К-16,ХТ10:14
303,3,5кшэ19-Р1,5кшэ19-К-U,ХТ10:15
304,,,5кшэ19-К-V,ХТ10:16
305,,,5кшэ19-К-W,ХТ10:17
306,,5кшэ19-К,5кшэ19-К-10,ХТ10:18
307,,,5кшэ19-К-14,ХТ10:19
308,,,5кшэ19-К-17,ХТ10:23
