id,Секция,Кабель,Проводник,Клеммник
437,,,5кшэ33-К-W,ХТ10:185
438,,5кшэ33-К,5кшэ33-К-10,ХТ10:186
439,,,5кшэ33-К-14,ХТ10:187
440,,,5кшэ33-К-17,ХТ10:191
441,,,5кшэ33-К-18,ХТ10:192
442,,,5кшэ33-К-11,ХТ10:193
443,,,5кшэ33-К-15,ХТ10:194
444,,,5кшэ33-К-12,ХТ10:195
445,,,5кшэ33-К-16,ХТ10:196
446,3,5кшэ34-Р1,5кшэ34-К-U,ХТ10:197
447,,,5кшэ34-К-V,ХТ10:198
448,,,5кшэ34-К-W,ХТ10:199
449,,5кшэ34-К,5кшэ34-К-10,ХТ10:200
450,,,5кшэ34-К-14,ХТ10:201
451,,,5кшэ34-К-17,ХТ10:205
452,,,5кшэ34-К-18,ХТ10:206
453,,,5кшэ34-К-11,ХТ10:207
454,,,5кшэ34-К-15,ХТ10:208
455,,,5кшэ34-К-12,ХТ10:209
456,,,5кшэ34-К-16,ХТ10:210
457,3,5кшэ35-Р1,5кшэ35-К-U,ХТ10:211
458,,,5кшэ35-К-V,ХТ10:212
459,,,5кшэ35-К-W,ХТ10:213
460,,5кшэ35-К,5кшэ35-К-10,ХТ10:214
461,,,5кшэ35-К-14,ХТ10:215
462,,,5кшэ35-К-17,ХТ10:219
463,,,5кшэ35-К-18,ХТ10:220
464,,,5кшэ35-К-11,ХТ10:221
465,,,5кшэ35-К-15,ХТ10:222
466,,,5кшэ35-К-12,ХТ10:223
467,,,5кшэ35-К-16,ХТ10:224
468,3,5кшэ36-Р1,5кшэ36-К-U,ХТ10:225
469,,,5кшэ36-К-V,ХТ10:226
470,,,5кшэ36-К-W,ХТ10:227
471,,5кшэ36-К,5кшэ36-К-10,ХТ10:228
472,,,5кшэ36-К-14,ХТ10:229
473,,,5кшэ36-К-17,ХТ10:233
474,,,5кшэ36-К-18,ХТ10:234
475,,,5кшэ36-К-11,ХТ10:235
476,,,5кшэ36-К-15,ХТ10:236
477,,,5кшэ36-К-12,ХТ10:237
478,,,5кшэ36-К-16,ХТ10:238
479,3,5кшэ37-Р1,5кшэ37-К-U,ХТ10:239
480,,,5кшэ37-К-V,ХТ10:240
481,,,5кшэ37-К-W,ХТ10:241
482,,5кшэ37-К,5кшэ37-К-10,ХТ10:242
483,,,5кшэ37-К-14,ХТ10:243
484,,,5кшэ37-К-17,ХТ10:247
485,,,5кшэ37-К-18,ХТ10:248
486,,,5кшэ37-К-11,ХТ10:249
487,,,5кшэ37-К-15,ХТ10:250
488,,,5кшэ37-К-12,ХТ10:251
489,,,5кшэ37-К-16,ХТ10:252
490,3,5кшэ38-Р1,5кшэ38-К-U,ХТ10:253
491,,,5кшэ38-К-V,ХТ10:254
492,,,5кшэ38-К-W,ХТ10:255
493,,5кшэ38-К,5кшэ38-К-10,ХТ10:256
494,,,5кшэ38-К-14,ХТ10:257
495,,,5кшэ38-К-17,ХТ10:261
496,,,5кшэ38-К-18,ХТ10:262
497,,,5кшэ38-К-11,ХТ10:263
498,,,5кшэ38-К-15,ХТ10:264
499,,,5кшэ38-К-12,ХТ10:265
500,,,5кшэ38-К-16,ХТ10:266
501,3,5кшэ39-Р1,5кшэ39-К-U,ХТ10:267
502,,,5кшэ39-К-V,ХТ10:268
503,,,5кшэ39-К-W,ХТ10:269
504,,5кшэ39-К,5кшэ39-К-10,ХТ10:270
505,,,5кшэ39-К-14,ХТ10:271
506,,,5кшэ39-К-17,ХТ10:275
507,,,5кшэ39-К-18,ХТ10:276
508,,,5кшэ39-К-11,ХТ10:277
509,,,5кшэ39-К-15,ХТ10:278
510,,,5кшэ39-К-12,ХТ10:279
511,,,5кшэ39-К-16,ХТ10:280
512,4,PU1-RS-K,PU1-RS-K-A,ХТ13:1
513,,,PU1-RS-K-B,ХТ13:2
514,1,Нотх1-Р1,Нотх1-Р1-U,1Х1:1
515,,,Нотх1-Р1-V,1Х1:2
516,,,Нотх1-Р1-W,1Х1:3
517,,,Нотх1-Р1-PE,1Х1:4
518,,Нотх1-Р2,Нотх1-Р2-х1,1Х1.1:1
519,,,Нотх1-Р2-х2,1Х1.1:2
520,2,Нотх1-К1,Нотх1-К1-1,1ХТ1:3
521,,,Нотх1-К1-2,1ХТ1:5
522,,,Нотх1-К1-3,1ХТ1:6
523,,,Нотх1-К1-4,1ХТ1:7
524,,,Нотх1-К1-5,1ХТ1:8
525,,,Нотх1-К1-6,1ХТ1:9
526,,,Нотх1-К1-7,1ХТ1:11
527,4,HS-Нотх1-К,HS-Нотх1-К-1,ХТ12:5
528,,,HS-Нотх1-К-2,ХТ12:6
529,1,Нотх2-Р1,Нотх2-Р1-U,2Х1:1
530,,,Нотх2-Р1-V,2Х1:2
531,,,Нотх2-Р1-W,2Х1:3
532,,,Нотх2-Р1-PE,2Х1:4
533,,Нотх2-Р2,Нотх2-Р2-х1,2Х1.1:1
534,,,Нотх2-Р2-х2,2Х1.1:2
535,2,Нотх2-К1,Нотх2-К1-1,2ХТ1:3
536,,,Нотх2-К1-2,2ХТ1:5
537,,,Нотх2-К1-3,2ХТ1:6
538,,,Нотх2-К1-4,2ХТ1:7
539,,,Нотх2-К1-5,2ХТ1:8
540,,,Нотх2-К1-6,2ХТ1:9
541,,,Нотх2-К1-7,2ХТ1:11
542,,HZS-Нотх2-К,HZS-Нотх2-К-1,2ХТ1:1
543,,,HZS-Нотх2-К-2,2ХТ1:2
544,1,Н1-Р1,Н1-Р1-U,2Х3:1
545,,,Н1-Р1-V,2Х3:2
546,,,Н1-Р1-W,2Х3:3
547,,,Н1-Р1-PE,2Х3:4
548,,Н1-Р2,Н1-Р2-х1,2Х3.1:1
549,,,Н1-Р2-х2,2Х3.1:2
550,2,Н1-К1,Н1-К1-1,2ХТ3:3
551,,,Н1-К1-2,2ХТ3:5
552,,,Н1-К1-3,2ХТ3:6
553,,,Н1-К1-4,2ХТ3:7
554,,,Н1-К1-5,2ХТ3:8
555,,,Н1-К1-6,2ХТ3:9
556,,,Н1-К1-7,2ХТ3:11
557,4,HS-НП1-К,HS-НП1-К-1,ХТ12:1
558,,,HS-НП1-К-2,ХТ12:2
559,,XL-НП1-К,XL-НП1-К-1,ХТ11:13
560,,,XL-НП1-К-2,ХТ11:14
561,,,XL-НП1-К-3,ХТ11:15
562,,,XL-НП1-К-4,ХТ11:16
563,,HS-НП2-К,HS-НП2-К-1,ХТ12:3
564,,,HS-НП2-К-2,ХТ12:4
565,,XL-НП2-К,XL-НП2-К-1,ХТ11:17
566,,,XL-НП2-К-2,ХТ11:18
567,,,XL-НП2-К-3,ХТ11:19
568,,,XL-НП2-К-4,ХТ11:20
