PZT_5P12_2_YMAX,MODBUS TCP/IP,4x,1117,Значение MAX (для пересчета)
PZT_5P12_2_BREAK_TLD,MODBUS TCP/IP,4x,1119,Порог обрыва
PZT_5P12_2_TF,MODBUS TCP/IP,4x,1121,Постоянная времени фильтра
PZT_5P12_2_AH,MODBUS TCP/IP,4x,1123,Уставка верхняя аварийная
PZT_5P12_2_WH,MODBUS TCP/IP,4x,1125,Уставка верхняя предупредительная
PZT_5P12_2_WL,MODBUS TCP/IP,4x,1127,Уставка нижняя предупредительная
PZT_5P12_2_AL,MODBUS TCP/IP,4x,1129,Уставка нижняя аварийная 
PZT_5P12_2_MAN_VALUE,MODBUS TCP/IP,4x,1131,Значение в режиме эмитации 
PZT_5P12_2_MAN_ON,MODBUS TCP/IP,4x_Bit,1133.0,Включен режим эмитации
LZT_5L11_1_YMIN,MODBUS TCP/IP,4x,1134,Значение MIN (для пересчета)
LZT_5L11_1_YMAX,MODBUS TCP/IP,4x,1136,Значение MAX (для пересчета)
LZT_5L11_1_BREAK_TLD,MODBUS TCP/IP,4x,1138,Порог обрыва
LZT_5L11_1_TF,MODBUS TCP/IP,4x,1140,Постоянная времени фильтра
LZT_5L11_1_AH,MODBUS TCP/IP,4x,1142,Уставка верхняя аварийная
LZT_5L11_1_WH,MODBUS TCP/IP,4x,1144,Уставка верхняя предупредительная
LZT_5L11_1_WL,MODBUS TCP/IP,4x,1146,Уставка нижняя предупредительная
LZT_5L11_1_AL,MODBUS TCP/IP,4x,1148,Уставка нижняя аварийная 
LZT_5L11_1_MAN_VALUE,MODBUS TCP/IP,4x,1150,Значение в режиме эмитации 
LZT_5L11_1_MAN_ON,MODBUS TCP/IP,4x_Bit,1152.0,Включен режим эмитации
LZT_5L11_2_YMIN,MODBUS TCP/IP,4x,1153,Значение MIN (для пересчета)
LZT_5L11_2_YMAX,MODBUS TCP/IP,4x,1155,Значение MAX (для пересчета)
LZT_5L11_2_BREAK_TLD,MODBUS TCP/IP,4x,1157,Порог обрыва
LZT_5L11_2_TF,MODBUS TCP/IP,4x,1159,Постоянная времени фильтра
LZT_5L11_2_AH,MODBUS TCP/IP,4x,1161,Уставка верхняя аварийная
LZT_5L11_2_WH,MODBUS TCP/IP,4x,1163,Уставка верхняя предупредительная
LZT_5L11_2_WL,MODBUS TCP/IP,4x,1165,Уставка нижняя предупредительная
LZT_5L11_2_AL,MODBUS TCP/IP,4x,1167,Уставка нижняя аварийная 
LZT_5L11_2_MAN_VALUE,MODBUS TCP/IP,4x,1169,Значение в режиме эмитации 
LZT_5L11_2_MAN_ON,MODBUS TCP/IP,4x_Bit,1171.0,Включен режим эмитации
TZT_5T11_1_YMIN,MODBUS TCP/IP,4x,1172,Значение MIN (для пересчета)
TZT_5T11_1_YMAX,MODBUS TCP/IP,4x,1174,Значение MAX (для пересчета)
TZT_5T11_1_BREAK_TLD,MODBUS TCP/IP,4x,1176,Порог обрыва
TZT_5T11_1_TF,MODBUS TCP/IP,4x,1178,Постоянная времени фильтра
TZT_5T11_1_AH,MODBUS TCP/IP,4x,1180,Уставка верхняя аварийная
TZT_5T11_1_WH,MODBUS TCP/IP,4x,1182,Уставка верхняя предупредительная
TZT_5T11_1_WL,MODBUS TCP/IP,4x,1184,Уставка нижняя предупредительная
TZT_5T11_1_AL,MODBUS TCP/IP,4x,1186,Уставка нижняя аварийная 
TZT_5T11_1_MAN_VALUE,MODBUS TCP/IP,4x,1188,Значение в режиме эмитации 
TZT_5T11_1_MAN_ON,MODBUS TCP/IP,4x_Bit,1190.0,Включен режим эмитации
TZT_5T11_2_YMIN,MODBUS TCP/IP,4x,1191,Значение MIN (для пересчета)
TZT_5T11_2_YMAX,MODBUS TCP/IP,4x,1193,Значение MAX (для пересчета)
TZT_5T11_2_BREAK_TLD,MODBUS TCP/IP,4x,1195,Порог обрыва
TZT_5T11_2_TF,MODBUS TCP/IP,4x,1197,Постоянная времени фильтра
TZT_5T11_2_AH,MODBUS TCP/IP,4x,1199,Уставка верхняя аварийная
TZT_5T11_2_WH,MODBUS TCP/IP,4x,1201,Уставка верхняя предупредительная
TZT_5T11_2_WL,MODBUS TCP/IP,4x,1203,Уставка нижняя предупредительная
TZT_5T11_2_AL,MODBUS TCP/IP,4x,1205,Уставка нижняя аварийная 
TZT_5T11_2_MAN_VALUE,MODBUS TCP/IP,4x,1207,Значение в режиме эмитации 
TZT_5T11_2_MAN_ON,MODBUS TCP/IP,4x_Bit,1209.0,Включен режим эмитации
PZT_5P13_1_YMIN,MODBUS TCP/IP,4x,1210,Значение MIN (для пересчета)
PZT_5P13_1_YMAX,MODBUS TCP/IP,4x,1212,Значение MAX (для пересчета)
